Entidad,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aguascalientes,7,30,47,28,75,54,96,48,39
Baja California,19,46,64,74,40,43,60,71,56
Baja California Sur,4,6,3,2,3,6,4,8,7
Campeche,5,3,5,1,1,3,16,15,22
Coahuila ,31,114,101,73,73,93,95,112,151
Colima,2,13,12,8,15,20,21,5,15
Chiapas,6,7,18,13,20,15,35,11,23
Chihuahua,15,89,85,65,80,86,73,62,130
Ciudad de Mexico,321,998,1161,941,890,860,804,779,841
Durango,3,10,24,15,30,11,24,10,33
Guanajuato,36,310,312,421,318,240,366,411,380
Guerrero,3,4,5,4,4,12,4,5,7
Hidalgo,12,20,17,24,58,61,25,49,74
Jalisco,70,397,470,427,410,546,483,562,580
Mexico,80,365,304,299,320,348,305,284,281
Michoacan,6,26,22,25,35,37,29,41,32
Morelos,22,46,50,58,63,59,59,52,72
Nayarit,1,3,3,4,1,10,9,7,10
Nuevo leon,110,401,492,504,485,487,342,338,322
Oaxaca,7,24,4,9,7,16,18,16,20
Puebla,43,112,125,117,150,169,161,144,187
Queretaro,47,87,83,106,105,108,126,127,101
Quintana Roo,3,10,18,12,15,23,20,22,28
San Luis Potosi,6,54,36,40,67,27,57,13,43
Sinaloa,14,44,62,48,59,42,53,41,80
Sonora,12,64,52,38,90,40,46,64,52
Tabasco,7,4,16,8,10,19,23,21,12
Tamaulipas,11,64,45,100,68,50,62,57,113
Tlaxcala,5,22,10,9,9,30,8,11,18
Veracruz,15,39,49,24,48,55,64,42,72
Yucatan,15,64,49,76,55,71,75,61,66
Zacatecas,2,9,27,29,60,30,14,17,29
