Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,121197.63399999999,126554.147,129628.02800000002,138111.823,150305.117,150949.983,143253.947,152205.212,158934.494,167705.967,172820.491,191038.59100000001,198175.395,216329.06199999998,224375.777
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,5262.297,5186.673,5587.146,5752.838,6041.207,6566.041,6216.043,6516.928,6908.651,7251.295,7270.858,7781.849,8007.97,8266.132,8671.294
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",5262.297,5186.673,5587.146,5752.838,6041.207,6566.041,6216.043,6516.928,6908.651,7251.295,7270.858,7781.849,8007.97,8266.132,8671.294
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,43925.787,46551.130999999994,47602.807,53051.356,60930.738,58002.397,55708.956,60666.425,62344.23400000001,66713.27500000001,69596.84,82466.726,83779.014,89258.557,90816.81300000002
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,612.409,591.588,525.114,547.61,640.402,546.709,607.026,546.047,532.226,565.88,1009.658,1020.174,833.436,768.771,789.484
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,612.409,591.588,525.114,547.61,640.402,546.709,607.026,546.047,532.226,565.88,1009.658,1020.174,833.436,768.771,789.484
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",749.771,806.266,872.906,1043.034,1118.234,1105.745,1122.544,1205.373,1260.619,1275.967,1296.316,1493.688,1528.97,1521.141,1592.073
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,17723.556,18797.009,18395.481,20417.608,22900.01,21556.566,23193.096,21216.263,21268.787,22944.585,22414.378,25170.866,23643.712,26491.876,26270.203
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,24840.051,26356.268,27809.306,31043.103999999996,36272.092,34793.377,30786.289999999997,37698.742000000006,39282.602000000006,41926.84300000001,44876.488,54781.998,57772.896,60476.76900000001,62165.053000000014
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,6176.923,7142.458,7177.897,7818.016,8459.281,8057.665,8276.819,8205.477,8274.171,8352.18,8780.87,8511.722,9028.278,10220.514,10670.087
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,352.324,424.164,422.59,506.877,544.828,550.679,561.265,559.886,612.383,661.882,740.627,706.416,648.237,449.064,530.058
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",1175.291,1102.253,1187.158,1093.276,1058.711,914.125,778.356,866.482,642.629,689.802,833.2819999999999,769.686,833.77,901.205,898.386
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",1812.9470000000001,1791.566,1821.422,1748.901,1922.636,2040.344,2437.561,2344.475,2296.858,2112.8360000000002,2053.873,1963.71,1914.1889999999999,2002.833,1875.372
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,117.023,124.163,135.622,131.82,125.633,119.315,110.837,110.427,108.439,124.279,142.806,142.034,146.168,169.014,173.147
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,201.209,220.12599999999998,255.293,288.58,280.08500000000004,309.337,357.627,395.18399999999997,399.33399999999995,378.15099999999995,416.37800000000004,441.118,666.279,761.762,698.78
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,294.731,299.61199999999997,342.775,360.131,602.237,761.1800000000001,599.111,777.5619999999999,788.792,876.018,1125.521,1457.813,1334.563,1483.8509999999999,1709.6129999999998
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,428.003,453.842,521.625,547.048,562.428,788.53,750.328,766.174,828.899,948.034,985.213,1023.757,1020.486,1064.702,1150.638
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,987.686,1024.025,1119.409,1147.7969999999998,1184.903,1214.6480000000001,947.8929999999999,1247.875,1158.615,1203.2830000000001,1054.0900000000001,972.788,1089.261,1183.918,1173.703
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",12463.01,12961.026,13954.842999999999,16491.810999999998,20488.764,19034.977,15068.136,21544.565,23234.53,25551.684,27617.337,37723.837999999996,39938.749,40986.377,41977.08700000001
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",589.857,582.095,652.88,728.404,844.319,794.575,656.965,666.779,678.277,732.792,785.501,706.076,763.949,770.657,790.581
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,241.047,230.938,217.792,180.443,198.267,208.002,241.392,213.856,259.675,295.902,340.99,363.04,388.967,482.872,517.601
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,72009.55,74816.343,76438.07500000001,79307.629,83333.172,86381.545,81328.94799999999,85021.85899999998,89681.609,93741.397,95952.793,100790.016,106388.411,118804.37299999998,124887.66999999998
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|43---Comercio al por mayor<C1>,10370.266,10975.144,11607.466,12118.242,12914.04,12904.146,11141.01,12300.77,14019.146,14833.904,15641.215,17783.739,19553.039,26979.064,30665.578
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|46---Comercio al por menor<C1>,12732.685,13553.991,14038.346,14410.94,15305.698,15833.29,13506.009,14368.219,15391.207,15359.844,16536.65,17153.327,17189.001,18101.304,18655.502
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",6266.424,6500.057,6770.76,7415.261,8382.462,8958.613,7435.071,7835.702,8222.822,8599.783,8875.456,9279.995,9641.833,9880.412,10159.332
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|51---Información en medios masivos<C1>,504.954,593.926,695.502,826.63,932.109,960.414,1120.044,1157.399,1201.63,1474.595,1520.942,1606.164,2004.05,2564.398,2664.573
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|52---Servicios financieros y de seguros<C1>,1693.057,1616.95,1543.226,1800.791,2119.358,2286.237,2370.011,2756.097,2805.601,3294.447,3759.98,4255.192,4606.357,5543.227,6172.66
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,12361.158,12998.652,13585.221,14185.607,14745.379,15322.199,15607.23,16150.184,16694.567,17189.432,17404.996,17774.466,18279.87,18887.81,19413.719
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",1862.079,1863.307,1888.873,1981.116,2202.196,2372.298,2225.262,2296.239,2258.585,2351.16,2494.277,2529.818,2617.812,2854.87,2754.879
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|55---Corporativos<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación<C1>",3115.194,3225.61,3382.072,3253.47,3324.588,3819.428,3436.015,3556.736,3819.521,3943.779,3833.878,3794.883,4024.637,4209.274,4331.265
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|61---Servicios educativos<C1>,6677.825,6852.194,6684.725,6760.985,7069.032,7019.417,7191.685,7094.235,7200.443,7254.667,7259.207,7124.184,7816.086,7997.696,8082.426
