Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,399514.624,423005.49899999995,433008.166,456019.296,461581.2740000001,457556.56500000006,407745.948,428162.546,440700.66200000007,456024.47200000007,465524.69499999995,473362.34799999994,505937.657,528019.895,544644.7179999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,11067.628,12588.134,12935.505,12500.92,11854.491,11634.057,13217.606,13323.311,13184.158,13219.844,14181.789,14087.962,14860.335,13841.081,14974.088
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",11067.628,12588.134,12935.505,12500.92,11854.491,11634.057,13217.606,13323.311,13184.158,13219.844,14181.789,14087.962,14860.335,13841.081,14974.088
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,171695.068,185061.624,185575.038,200378.652,199964.956,194805.809,158703.06,165601.271,164846.85700000002,169744.725,170405.104,176061.349,192449.057,199834.528,205932.63199999998
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,713.251,714.906,649.857,637.565,676.115,633.732,501.249,506.697,502.688,500.549,472.977,457.927,542.751,553.823,588.693
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,713.251,714.906,649.857,637.565,676.115,633.732,501.249,506.697,502.688,500.549,472.977,457.927,542.751,553.823,588.693
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",9247.168,10761.872,11365.266,12741.688,14303.589,14114.78,14502.099,14377.473,14907.914,14547.45,15154.991,16996.035,16876.329,16571.149,15348.549
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,56672.635,62092.794,62144.611,65360.231,66556.048,68838.233,52431.46,53597.434,54617.677,55067.519,54081.586,50428.014,55342.379,57281.974,60767.56
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,105062.014,111492.052,111415.304,121639.168,118429.20400000001,111219.064,91268.25200000001,97119.66699999999,94818.578,99629.20700000001,100695.54999999999,108179.37299999999,119687.598,125427.58200000001,129227.82999999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,16769.731,15247.037,15588.346,16953.379,16092.394,14329.009,15920.397,16298.959,16028.119,15654.539,15846.082,15865.728,16233.606,17536.524,17245.816
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,2642.112,3005.154,2953.027,3192.806,3239.849,3291.798,2961.705,2838.257,3010.828,3463.999,3578.062,3243.743,3081.237,3681.416,3712.978
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",325.258,373.128,411.308,456.812,469.47799999999995,597.149,564.575,579.879,572.341,663.847,697.725,802.583,877.8820000000001,974.226,899.1
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",2017.518,2578.676,2524.646,2706.782,2508.397,2454.727,2617.219,2501.812,2015.028,1837.598,1827.672,1878.004,1823.031,2197.9629999999997,2077.112
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,1606.163,1680.472,1683.08,1660.885,1384.107,1410.684,972.195,615.693,413.675,478.857,516.65,613.846,645.694,740.542,708.14
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,2344.522,2710.495,2815.8199999999997,3114.423,2978.1359999999995,2904.717,2985.402,3370.143,3382.858,3774.818,3989.907,4329.107,4873.472,5097.068,5622.131
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,3475.326,3685.9429999999998,3907.6890000000003,4076.339,3852.0170000000003,3225.217,3129.983,3466.969,3497.23,3904.875,4275.612999999999,4974.68,5376.359,5248.732,5523.799999999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,1913.52,2503.093,2653.026,2863.442,2894.451,2473.708,2429.206,2431.755,2504.778,1973.071,2025.851,1938.507,2131.018,2184.947,2245.81
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,5979.9490000000005,6471.414000000001,6677.848,7310.666,7201.023,5990.461,5086.434,4910.574,4710.273,5126.389,5419.872,5912.976000000001,6383.731,6587.817,6929.0160000000005
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",58811.59299999999,63354.401,62204.899000000005,68521.473,67231.149,62214.954,43565.556000000004,48683.865,46209.754,49717.698000000004,48287.421,54012.587,62563.448000000004,64155.16900000001,65777.49799999999
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",2460.459,2640.923,2616.634,2568.573,2302.536,2267.352,1963.479,2095.561,1914.651,2240.906,2488.468,2308.864,2551.366,2623.814,2607.455
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,6715.863,7241.316,7378.981,8213.588,8275.667,10059.288,9072.101,9326.2,10559.043,10792.61,11742.227,12298.748,13146.754,14399.364,15878.974
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,216751.928,225355.74099999998,234497.62300000002,243139.724,249761.82700000005,251116.69900000002,235825.28199999998,249237.964,262669.64700000006,273059.90300000005,280937.80199999997,283213.03699999995,298628.265,314344.286,323737.9979999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|43---Comercio al por mayor<C1>,32035.545,34196.81,36066.003,38733.209,39814.582,37970.385,32148.629,35329.44,38782.272,40092.331,41428.369,42021.051,44363.842,46155.626,46774.878
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|46---Comercio al por menor<C1>,34912.12,36361.645,37740.983,38667.911,39028.144,39007.36,34101.646,38799.115,42717.906,43653.956,45093.151,44998.699,50818.376,54034.068,56009.846
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",20674.419,22732.635,24128.357,24361.618,25195.42,24904.873,21252.318,22050.088,22814.857,22830.639,22878.774,23357.049,24336.537,25936.022,26966.633
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|51---Información en medios masivos<C1>,1649.15,1889.036,2229.499,2734.951,3263.998,3388.415,3711.928,3735.114,3800.152,5003.998,5350.541,5423.658,6865.17,8722.353,9654.765
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|52---Servicios financieros y de seguros<C1>,4217.252,5070.567,4880.494,5646.892,6468.152,7717.179,7929.373,8820.568,8820.425,9830.507,10920.273,11828.944,13606.798,15852.971,16785.436
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,40702.652,42373.181,43641.936,46281.512,48754.358,51308.479,51933.754,53633.364,55239.938,56656.381,57208.88,58183.157,59686.863,60789.575,61474.671
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",6319.976,6493.041,6778.466,6886.54,6932.083,7502.841,6291.487,6654.104,7104.214,7075.564,7511.514,7282.549,7907.379,8300.39,8797.124
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|55---Corporativos<C1>,92.645,93.901,93.579,98.992,99.063,95.2,88.058,91.487,95.837,101.515,98.531,101.45,109.047,119.638,124.2
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación<C1>",9328.174,9067.482,8834.176,9268.792,8947.242,9815.654,9358.334,10687.327,11253.862,12055.052,12383.229,11674.405,12188.806,12857.783,13769.68
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|61---Servicios educativos<C1>,16421.995,16347.646,17473.141,16610.487,16962.882,18078.661,17554.32,17670.598,18664.244,19468.398,20007.433,19480.112,19213.207,20009.511,20474.002
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,8137.787,8620.492,8780.787,9190.364,8860.991,7953.95,8381.087,8262.852,8902.107,9246.429,9841.603,10195.582,9775.314,9416.992,10374.769
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",3968.322,4038.737,4060.308,4310.108,4572.953,4681.419,4573.045,4742.322,4854.053,5003.309,5191.005,5173.136,5432.119,5708.109,5882.671
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas<C1>,12204.779,12381.124,13254.712,13115.948,13091.387,11072.794,9984.99,9735.826,9929.754,10206.564,10893.632,11368.911,12228.377,12979.756,13111.959
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|81---Otros servicios excepto actividades gubernamentales<C1>,9608.841,9605.938,9986.55,10273.709,10564.208,10766.449,10391.619,9838.982,10087.529,10640.881,10652.047,10635.292,10628.609,10992.369,11307.284
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales<C1>",16478.271,16083.506,16548.632,16958.691,17206.364,16853.04,18124.694,19186.777,19602.497,21194.379,21478.82,21489.042,21467.821,22469.123,22230.08
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,2.770268554675,2.975879516876,2.987358210699,2.741313823703,2.568234819682,2.542648907245,3.241627799082,3.111741352547,2.991635624092,2.898933020419,3.046409600247,2.976147566346,2.937186982308,2.621318084994,2.749331354022
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",2.770268554675,2.975879516876,2.987358210699,2.741313823703,2.568234819682,2.542648907245,3.241627799082,3.111741352547,2.991635624092,2.898933020419,3.046409600247,2.976147566346,2.937186982308,2.621318084994,2.749331354022
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,42.975915695141,43.749224167887,42.857168194837,43.940827451302,43.3217219293,42.575240724609,38.92204466493,38.677196907363,37.405629538174,37.222722775281,36.604954759704,37.193779721576,38.038097053527,37.84602244959,37.810452427816
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,0.178529384697,0.169006313556,0.150079617667,0.139810969753,0.146477995986,0.138503531252,0.122931693732,0.118342205486,0.114065633058,0.109763626896,0.101600839887,0.096739210868,0.107276260719,0.104886767572,0.108087525784
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,0.178529384697,0.169006313556,0.150079617667,0.139810969753,0.146477995986,0.138503531252,0.122931693732,0.118342205486,0.114065633058,0.109763626896,0.101600839887,0.096739210868,0.107276260719,0.104886767572,0.108087525784
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",2.314600628987,2.544144703897,2.624723248291,2.794111589524,3.098823502099,3.08481640953,3.556650672099,3.35794738104,3.3827754949,3.190059063322,3.255464460376,3.590491527645,3.335653862982,3.138356936342,2.818084614198
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,14.185371847615,14.678956691294,14.351833494059,14.332777488433,14.419139542476,15.044748183211,12.858854945629,12.518010858428,12.393373032873,12.075562251843,11.617339870659,10.653152751389,10.938576766188,10.848449943349,11.157284371204
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,26.297413833843,26.357116459141,25.73053183482,26.674127403591,25.657280888739,24.307172600616,22.383607353469,22.68289646241,21.515415377343,21.847337833221,21.630549588782,22.853396231675,23.656590163638,23.754328802327,23.72699591663
