Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,76047.59300000001,81546.00899999999,87397.67000000001,93655.622,106199.426,108975.35599999999,108338.81099999999,110656.4,114707.76200000002,117345.833,115027.644,114871.33499999999,130096.58,134229.43300000002,149572.636
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,3448.593,3209.62,3687.31,3414.949,3353.161,3265.225,3082.843,3805.176,3660.129,3895.906,3772.298,4662.404,4938.918,5307.861,5129.955
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",3448.593,3209.62,3687.31,3414.949,3353.161,3265.225,3082.843,3805.176,3660.129,3895.906,3772.298,4662.404,4938.918,5307.861,5129.955
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,21687.383,23371.646999999997,23290.563,24919.818,31602.199999999997,34943.323,37856.568,33633.028,34057.864,32288.743000000002,30272.174,28586.672,38441.064000000006,36437.363999999994,46171.48
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,2050.038,2374.331,2461.831,2233.277,2337.344,2566.072,2582.215,2494.697,2568.893,2698.443,3751.217,3893.381,4169.025,4704.389,4617.96
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,2050.038,2374.331,2461.831,2233.277,2337.344,2566.072,2582.215,2494.697,2568.893,2698.443,3751.217,3893.381,4169.025,4704.389,4617.96
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",1652.33,2049.652,2035.901,2648.279,2502.873,2951.744,3066.86,3474.025,4395.321,3834.351,4221.717,4715.954,4898.794,5070.637,5172.569
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,15967.031,17038.509,16816.66,17963.938,24535.653,27226.82,30142.31,25622.944,25071.309,23767.616,20186.174,17769.967,27170.023,24473.477,34193.848
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,2017.9840000000004,1909.155,1976.171,2074.324,2226.33,2198.687,2065.1829999999995,2041.3619999999999,2022.341,1988.3330000000003,2113.066,2207.3699999999994,2203.222,2188.861,2187.103
