Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,1047511.322,1059561.025,1038533.775,1014280.3500000001,947575.4930000001,867231.044,780757.4290000001,753968.591,726503.856,714787.0650000002,721085.0629999998,687268.5819999999,638740.803,601213.978,538379.6900000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,3010.18,3500.141,3295.505,3859.856,2934.92,3321.391,3543.657,4239.031,3803.433,4014.807,4031.378,4564.823,4906.65,5327.207,5342.4
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",3010.18,3500.141,3295.505,3859.856,2934.92,3321.391,3543.657,4239.031,3803.433,4014.807,4031.378,4564.823,4906.65,5327.207,5342.4
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,987337.433,995877.706,972612.473,945550.348,878777.888,795328.554,711627.9490000001,681558.8080000001,650719.5070000001,636346.7790000001,640980.9069999999,604204.189,554526.0869999999,519888.126,457797.26700000005
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,943778.483,947427.4199999999,912182.804,873954.95,813725.936,740530.234,656207.316,621430.1560000001,594460.1370000001,579665.9430000001,584402.2289999999,559121.132,511938.218,483076.616,429092.232
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,943590.949,947235.727,911965.646,873712.271,813497.726,740354.978,656025.985,621235.295,594282.952,579489.636,584234.661,558984.634,511803.01,482959.861,429001.656
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,187.534,191.693,217.158,242.679,228.21,175.256,181.331,194.861,177.185,176.307,167.568,136.498,135.208,116.755,90.576
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",872.575,961.491,992.091,969.113,959.621,1058.695,1168.229,1053.339,1114.16,1081.388,1148.029,1155.763,1129.225,1275.661,1209.58
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,40070.219,45027.148,57012.465,68157.925,61519.618,51005.349,51437.729,56280.809,52286.642,52846.96,52572.519,41067.664,38712.543,32962.616,25034.604
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,2616.156000000001,2461.6469999999995,2425.1130000000003,2468.3599999999997,2572.7129999999997,2734.276,2814.6749999999993,2794.504,2858.5680000000007,2752.4880000000003,2858.13,2859.63,2746.1009999999997,2573.2329999999997,2460.8509999999997
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,1070.142,964.525,907.281,923.361,981.902,1027.264,1067.014,1131.274,1161.538,1117.896,1146.548,1190.03,1165.801,1176.816,1148.194
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,556.423,558.89,575.278,533.587,536.612,549.887,536.929,456.085,475.865,384.03,361.964,260.634,307.081,333.414,310.35
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",18.619,25.005000000000003,20.067,28.116,27.610999999999997,21.565,13.097,14.322,14.429,17.863,15.081,16.634,16.211,14.023000000000001,12.741
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",634.2379999999999,594.496,568.0500000000001,604.023,618.886,639.894,723.916,742.109,740.9150000000001,794.63,901.705,905.616,799.6899999999999,659.776,638.716
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,31.504,30.441,31.5,28.59,27.807,25.43,27.852,29.631,37.467,44.558,50.223,33.537,43.534,53.464,47.455
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,26.868000000000002,27.236,28.134,32.397,30.716,33.916,30.941,32.177,29.866,29.554,29.529,30.373,29.189,30.071,27.843
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,87.983,71.665,69.099,68.024,72.49,93.362,99.39,86.80499999999999,100.79099999999998,99.12199999999999,86.021,104.62799999999999,108.71000000000001,106.78200000000001,111.521
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,48.155,45.129,58.826,66.232,73.383,59.457,50.8,45.433,44.665,50.062,76.139,81.498,60.221,46.828,27.873
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,87.599,91.921,111.257,121.471,133.603,157.871,151.592,149.999,153.425,104.561,77.799,115.579,117.341,70.787,51.982
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",11.53,10.542,14.532000000000002,20.633000000000003,26.019000000000002,85.30599999999998,72.417,61.767999999999994,50.586999999999996,61.32000000000001,67.322,79.21499999999999,57.169999999999995,37.721,44.026
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",34.393,33.143,32.467,32.43,32.154,30.638,31.115,35.237,36.285,35.15,32.323,27.552,27.345,26.072,24.531
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,8.702,8.654,8.622,9.496,11.53,9.686,9.612,9.664,12.735,13.742,13.476,14.334,13.808,17.479,15.619
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,57163.70899999999,60183.17799999999,62625.79699999999,64870.14600000001,65862.68500000001,68581.09900000002,65585.823,68170.75200000001,71980.916,74425.47899999999,76072.77799999999,78499.56999999999,79308.06599999999,75998.64499999999,75240.023
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|43---Comercio al por mayor<C1>,3889.176,4352.499,4624.729,4920.75,4878.697,5104.917,4688.171,5300.646,6015.629,6735.898,7287.595,8594.973,9662.207,8508.975,8380.198
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|46---Comercio al por menor<C1>,7484.542,7944.354,8462.232,8799.842,9041.722,9379.366,7788.801,8881.819,10260.381,10245.976,10386.636,10191.481,10960.639,10368.933,10354.018
