Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,2132929.372,2226949.736,2258091.583,2374722.886,2408565.8649999998,2450391.202,2362516.439,2446910.4390000002,2533806.8929999997,2633934.6419999995,2673066.3310000002,2729859.4540000004,2836540.252,2961088.3139999993,3044809.002000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,1513.951,1364.238,1500.58,1311.591,1293.484,1218.942,1312.468,1295.982,1367.89,1342.476,1195.825,1215.705,1187.927,1222.638,1130.16
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",1513.951,1364.238,1500.58,1311.591,1293.484,1218.942,1312.468,1295.982,1367.89,1342.476,1195.825,1215.705,1187.927,1222.638,1130.16
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,287794.358,297595.98699999996,299594.705,329315.62999999995,319063.92299999995,306961.04600000003,297600.00800000003,283406.68700000003,297198.11199999996,306702.268,290198.067,300559.319,281297.94500000007,293383.33900000004,294790.525
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,121.846,120.317,109.016,125.591,123.045,104.31,110.028,95.373,112.093,121.634,102.602,117.614,109.62,125.877,127.562
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,121.846,120.317,109.016,125.591,123.045,104.31,110.028,95.373,112.093,121.634,102.602,117.614,109.62,125.877,127.562
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",6949.692,7594.619,8353.029,9027.51,9121.48,8603.64,10108.814,11694.533,11921.2,13197.575,13103.895,13308.369,13765.867,13673.657,13743.32
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,91927.03,99593.82,99253.734,120709.967,113304.978,104768.93,105674.855,92072.243,111065.572,122198.132,108644.335,121281.381,106491.433,121915.239,123475.512
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,188795.78999999998,190287.23099999997,191878.926,199452.56199999995,196514.41999999998,193484.16600000003,181706.31100000002,179544.538,174099.24699999994,171184.927,168347.235,165851.955,160931.02500000002,157668.56600000002,157444.131
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,56275.79,55925.27,54576.61,55551.627,54393.45,54100.135,56076.074,54361.804,54920.881,57833.271,58634.059,57939.778,55918.938,56426.965,59600.16
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,9820.187,10079.87,11711.559,12185.429,11396.271,12039.118,12505.595,13247.445,13009.334,13335.43,13346.493,11584.217,10219.157,9405.858,9239.706
