Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,360426.663,376662.637,389210.794,419631.539,434649.92,440792.887,401079.179,417796.42,427430.02700000006,459166.22,476290.1969999999,486857.75899999996,515187.55299999996,540519.412,556562.9809999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,21364.726,22263.946,22405.672,24744.761,26362.801,24549.046,25320.964,27231.784,25440.858,25774.944,29128.57,31040.145,32716.992,30166.775,33306.023
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",21364.726,22263.946,22405.672,24744.761,26362.801,24549.046,25320.964,27231.784,25440.858,25774.944,29128.57,31040.145,32716.992,30166.775,33306.023
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,139939.229,148417.15399999998,153423.304,167674.674,173214.597,172747.002,151840.34,154263.03100000002,155271.109,176407.669,186862.40699999998,191753.943,204152.912,220603.544,224941.583
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,6954.267,6452.668,10532.03,12694.393,13036.211,12382.729,10722.232,10952.012,11778.946,14567.72,16371.439,15184.956,13610.05,16432.903,20370.493
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,6954.267,6452.668,10532.03,12694.393,13036.211,12382.729,10722.232,10952.012,11778.946,14567.72,16371.439,15184.956,13610.05,16432.903,20370.493
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",7230.514,7752.287,8374.653,9889.389,10905.237,10794.654,10773.033,10489.319,11254.621,11619.855,11566.419,12540.669,12492.483,12732.82,12145.138
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,34095.216,37235.966,34608.65,36245.418,39620.675,39446.317,37409.61,34248.48,30775.373,33488.171,36168.07,37861.055,42387.229,44925.657,40158.738
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,91659.23199999999,96976.233,99907.97099999999,108845.47399999999,109652.474,110123.302,92935.465,98573.22,101462.169,116731.923,122756.47899999998,126167.263,135663.15,146512.164,152267.214
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,10605.435,10348.734,11043.594,11878.875,12112.897,12974.541,12043.191,12914.834,14316.426,15260.065,15080.292,14788.393,14274.031,14687.87,15715.568
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,2716.905,2752.791,2738.277,3051.893,2390.473,2310.307,2060.97,1565.833,1386.261,1900.336,1995.391,1833.016,1582.7,1329.789,1333.348
