Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,248123.22699999996,238375.89,240279.55899999998,248414.30200000003,252536.304,258289.89,256698.36200000002,270989.331,279446.584,284733.625,280925.273,295158.113,290463.61400000006,290720.226,281832.641
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,21940.471,20617.682,18740.146,19719.962,20309.059,19961.21,20026.696,20757.394,20808.961,20576.267,20772.068,19843.33,19709.268,20262.189,19241.094
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",21940.471,20617.682,18740.146,19719.962,20309.059,19961.21,20026.696,20757.394,20808.961,20576.267,20772.068,19843.33,19709.268,20262.189,19241.094
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,81794.783,68697.106,67797.58799999999,73137.71,69330.669,74678.64600000001,75768.90800000001,84566.691,85043.29800000001,85582.32699999999,76769.782,82563.07200000001,76192.46399999999,69757.493,59683.113999999994
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,19628.152000000002,16270.858999999999,14811.37,14175.441,13568.92,13999.074,15692.295,18167.839,17960.438000000002,17851.765,18279.21,17715.33,14716.404999999999,11228.827000000001,7696.951
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,18565.419,15536.898,13810.101,13179.781,12559.795,13195.99,15001.531,17395.383,17243.182,17043.493,17648.272,17027.377,13956.523,10561.073,7102.033
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,1062.733,733.961,1001.269,995.66,1009.125,803.084,690.764,772.456,717.256,808.272,630.938,687.953,759.882,667.754,594.918
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",2384.925,3633.743,5244.98,7793.038,5158.758,9621.442,6981.276,9123.29,10577.582,9598.266,7476.519,11327.362,8019.127,7464.077,7646.601
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,28323.766,19374.547,19830.063,22374.432,21165.47,22087.882,23586.808,27459.175,25818.421,28249.785,21991.215,23148.325,23683.169,22207.33,19094.701
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,31457.940000000002,29417.957000000002,27911.174999999992,28794.799000000006,29437.521,28970.248,29508.529000000006,29816.387000000002,30686.857000000004,29882.511,29022.837999999996,30372.055000000004,29773.762999999995,28857.259,25244.860999999997
