Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,436573.518,449143.882,458867.90699999995,480488.194,500478.657,498326.775,421327.48899999994,489951.77599999995,523207.11199999996,549551.802,538206.987,565824.8250000001,573850.0680000001,583337.1699999999,612676.3019999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,11281.167,12051.455,13495.313,12459.641,12894.454,12417.341,13485.376,13637.196,13153.989,13283.091,13260.842,14400.791,13680.636,12717.142,13002.247
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",11281.167,12051.455,13495.313,12459.641,12894.454,12417.341,13485.376,13637.196,13153.989,13283.091,13260.842,14400.791,13680.636,12717.142,13002.247
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,241604.351,245449.524,246635.07899999997,260161.326,272421.484,267058.753,199970.038,252720.21999999997,274893.522,291311.57300000003,276370.022,300529.004,298772.848,300389.66599999997,319210.684
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,12670.002,11896.068000000001,14543.929,13802.301000000001,14708.878,14786.788,14168.491,17026.906,18313.978000000003,18201.254,17057.789,16931.054,14393.515,14841.698999999999,15290.541000000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,77.302,116.225,82.206,85.182,425.207,831.812,1831.288,1765.208,1327.686,962.489,867.321,597.205,326.803,274.594,267.689
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,12592.7,11779.843,14461.723,13717.119,14283.671,13954.976,12337.203,15261.698,16986.292,17238.765,16190.468,16333.849,14066.712,14567.105,15022.852
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",6676.362,7903.419,8407.562,9678.892,10410.405,10280.982,9931.192,10289.054,11292.889,11033.328,10711.632,12365.423,12220.235,11532.107,10595.573
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,31922.125,27208.205,30791.843,32964.986,40440.698,45486.689,37153.912,36059.699,39384.142,40244.958,34352.084,38990.324,40409.435,43995.624,55136.992
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,190335.862,198441.832,192891.74499999997,203715.147,206861.503,196504.294,138716.443,189344.561,205902.513,221832.03300000002,214248.51700000002,232242.203,231749.663,230020.23599999998,238187.57799999998
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,15623.52,16517.404,16559.926,17305.234,18230.135,18703.091,19809.375,20210.853,21159.262,22563.342,23041.825,21156.989,21904.713,22795.825,21850.627
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,2905.255,3098.914,2521.898,2922.365,2958.975,2973.681,2912.665,2923.851,6470.049,7330.892,7269.864,7260.197,6853.553,10483.352,11723.077
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",1812.681,1936.461,1685.958,1693.8120000000001,1783.104,1819.554,1393.789,1558.759,1624.585,1779.371,1765.708,1843.19,1909.009,1972.584,1862.723
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",6205.84,6116.648,5459.7789999999995,5657.48,6494.817,6686.255,6717.011,4241.886,4223.109,4335.889,4277.25,4202.062,3942.8740000000003,4024.804,3972.545
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,361.302,367.035,386.816,393.1,437.641,405.02,397.536,450.039,456.496,545.632,546.386,516.512,493.577,519.742,508.894
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,1013.4590000000001,1231.223,1413.906,1424.562,1495.146,1625.104,1675.971,1764.834,1803.11,1825.9850000000001,1718.703,1745.6399999999999,1917.551,1993.8410000000001,2113.581
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,5465.91,5312.091,4506.372,3992.543,4156.154,3894.3819999999996,4104.899,4965.951,5173.076999999999,6123.928,6894.863,7395.5830000000005,7652.558,7058.159,7114.331
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,2623.049,2701.905,2819.959,3015.952,2885.661,2645.636,2519.109,2737.488,2836.648,2961.168,2938.2,3038.597,3009.928,2963.89,2964.572
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,67532.508,65378.596,67049.95599999999,73438.29000000001,77704.388,71826.235,48276.66,60194.801999999996,62267.968,63997.106,58087.084,64114.462999999996,64568.643,64889.747,64583.83
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",84643.90299999999,93645.036,88300.792,91624.49,88473.507,83830.80900000001,48809.471999999994,87885.48000000001,97189.245,107465.84400000001,105100.79800000001,118543.457,116991.831,110311.14499999999,118711.946
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",1568.961,1519.676,1594.509,1649.103,1634.916,1516.814,1433.454,1579.759,1715.995,1859.774,1643.548,1493.856,1625.602,1669.494,1504.46
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,579.474,616.843,591.874,598.216,607.059,577.713,666.502,830.859,982.969,1043.102,964.288,931.657,879.824,1337.653,1276.992
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,183688,191642.903,198737.51499999998,207867.22699999998,215162.71899999998,218850.68099999995,207872.07499999998,223594.36000000002,235159.601,244957.138,248576.123,250895.03000000003,261396.58400000006,270230.362,280463.371
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|43---Comercio al por mayor<C1>,18418.618,19752.229,21158.141,22019.874,22359.437,23185.377,20693.251,24269.754,27302.918,29321.685,29764.632,30619.133,33128.428,33735.673,34677.171
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|46---Comercio al por menor<C1>,34445.546,35059.552,36144.933,36643.982,37477.702,37855.728,32726.858,36654.798,38256.975,37478.981,38368.045,36317.01,37574.138,39454.234,40824.715
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",26503.842,27774.462,28661.156,30917.314,33032.399,32744.944,30462.234,33211.573,34834.401,37335.514,38166.645,39976.151,41750.793,43518.913,48257.024
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|51---Información en medios masivos<C1>,1266.235,1410.292,1588.308,1794.653,2148.208,2291.294,2432.244,2426.084,2498.873,2984.306,3146.168,3206.192,3600.651,4547.68,4805.96
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|52---Servicios financieros y de seguros<C1>,3275.729,3910.553,3464.378,3868.327,4329.538,5544.053,6104.649,8057.002,8529.375,10191.836,11363.294,11996.021,13722.544,14792.141,15590.48
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,35624.812,36975.509,38123.331,39477.685,40694.333,41924.746,42651.597,44103.845,45409.842,46567.232,46982.738,47796.288,48975.604,50214.19,51254.499
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",3660.285,3889.085,3714.171,4295.698,4512.974,4796.615,4212.553,4277.803,4902.74,5320.566,5463.468,5148.28,5518.17,5974.027,5545.482
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|55---Corporativos<C1>,40.465,40.602,42.05,42.991,42.945,43.312,38.428,40.95,45.053,49.207,48.117,48.589,51.405,56.726,57.995
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación<C1>",13061.201,13821.168,15882.603,17357.775,17812.485,17741.273,16074.121,18131.853,20428.352,21963.91,22232.624,22161.978,22867.844,22050.747,23518.332
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|61---Servicios educativos<C1>,14747.709,15350.669,15793.121,15757.678,16095.915,16102.468,16418.29,16234.227,16199.849,15964.257,16003.067,16290.215,15870.912,16074.415,15754.86
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,7328.399,7381.808,7389.88,8185.451,8283.96,8270.871,8538.686,8342.013,8270.754,8372.316,8579.847,8706.091,8680.415,8861.645,8890.129
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",2082.02,2138.135,2155.28,2236.965,2357.021,2404.523,2317.112,2393.894,2441.176,2532.314,2633.036,2643.189,2787.651,2956.755,3062.011
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas<C1>,4785.095,5066.859,5088.358,5965.387,5986.46,6186.633,5382.83,5076.59,5263.023,5589.676,5555.012,4907.424,5791.783,6305.47,6347.802
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|81---Otros servicios excepto actividades gubernamentales<C1>,6064.895,6307.137,6332.966,6483.21,6688.626,6844.194,6672.048,6801.536,6765.589,7091.517,7039.478,6920.408,6821.176,7345.689,7457.472
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales<C1>",12383.149,12764.843,13198.839,12820.237,13340.716,12914.65,13147.174,13572.438,14010.681,14193.821,13229.952,14158.061,14255.07,14342.057,14419.439
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,2.584024576589,2.683205868537,2.94100171185,2.593121153774,2.576424352897,2.491806907225,3.200687434852,2.783375154048,2.514107453493,2.417077143894,2.463892576705,2.545097062505,2.384008779102,2.180067147101,2.122204981253
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",2.584024576589,2.683205868537,2.94100171185,2.593121153774,2.576424352897,2.491806907225,3.200687434852,2.783375154048,2.514107453493,2.417077143894,2.463892576705,2.545097062505,2.384008779102,2.180067147101,2.122204981253
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,55.341045903751,54.648306219164,53.7486006839,54.145206739461,54.432188104277,53.59109050482,47.461901542342,51.580631478311,52.540096587984,53.008937818022,51.350136411366,53.113435593781,52.064618383909,51.4950326241,52.101033279397
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,2.902146254322,2.64860960524,3.169524121895,2.872557780265,2.938962090445,2.967287479185,3.362821408503,3.475220793975,3.500330477159,3.312017890535,3.169373384593,2.99227839641,2.508236175725,2.544274523086,2.495696495863
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0.017706525204,0.025877008384,0.017914959566,0.017728219145,0.084960066539,0.166920992756,0.434647168251,0.360281988242,0.253759165262,0.175140723131,0.161150081836,0.105545916972,0.056949196005,0.047072947537,0.043691750297
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,2.884439729118,2.622732596856,3.151609162329,2.854829561119,2.854002023906,2.800366486429,2.928174240252,3.114938805733,3.246571311898,3.136877167405,3.008223302757,2.886732479438,2.45128697972,2.497201575549,2.452004745566
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",1.529264081474,1.759663064942,1.832240144003,2.014387059009,2.080089701008,2.063100462543,2.357119404568,2.100013614401,2.158397456952,2.007695718556,1.990243950512,2.185380077659,2.129517043117,1.976919626089,1.729391681286
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,7.311970076939,6.057792634032,6.710393673271,6.860727570759,8.080404116014,9.127883806765,8.818297635453,7.359846573962,7.527447753807,7.32323283329,6.382690085738,6.890882527114,7.041810614545,7.54205736624,8.99936749961
