Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,67732.93,67794.051,68258.171,72533.785,77526.37,78953.717,76446.9,81992.17799999999,87944.96900000001,90540.289,91422.446,93707.678,95357.74499999998,101187.003,105770.99799999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,4467.823,4604.776,4458.715,4666.687,4866.399,5061.178,4162.321,4510.975,4795.777,4281.133,4400.007,4477.266,4374.605,4594.696,4935.972
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",4467.823,4604.776,4458.715,4666.687,4866.399,5061.178,4162.321,4510.975,4795.777,4281.133,4400.007,4477.266,4374.605,4594.696,4935.972
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,19339.097999999998,18046.508,16966.626,18476.503,20895.005,20810.208,20611.687,21972.852,24938.551,25347.492,25359.659,24745.036,25234.072999999997,25410.872,24988.459000000003
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,1780.135,1637.999,1719.236,1815.934,1967.38,1743.017,1641.786,1861.592,1775.507,1888.985,1878.566,1738.075,1505.133,1560.895,1610.162
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,1780.135,1637.999,1719.236,1815.934,1967.38,1743.017,1641.786,1861.592,1775.507,1888.985,1878.566,1738.075,1505.133,1560.895,1610.162
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",3099.376,3433.354,3894.849,3723.943,4143.164,4197.583,3778.393,3323.166,3972.506,4920.611,5711.353,6775.69,7385.249,6995.618,7474.684
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,11278.634,9553.505,7932.481,9605.166,11459.459,11469.478,11731.191,12991.618,15275.008,14663.045,13777.365,12273.316,12264.534,12741.435,11748.323
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,3180.9529999999995,3421.6499999999996,3420.0600000000004,3331.4599999999996,3325.002,3400.1300000000006,3460.3169999999996,3796.476,3915.53,3874.851,3992.3749999999995,3957.955,4079.1569999999997,4112.924,4155.289999999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,2254.768,2380.026,2448.481,2348.433,2336.406,2203.544,2367.447,2615.889,2659.383,2694.808,2942.781,3007.799,3106.53,3040.594,3034.957
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,27.984,31.519,36.255,36.917,38.976,41.371,42.037,40.758,45.418,46.452,48.775,50.262,55.533,65.253,49.276
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",21.836,23.761,22.853,21.877,21.447,20.86,21.884,23.464000000000002,22.236,21.078,20.081999999999997,22.153,29.118000000000002,29.864,31.011
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",58.807,61.775,63.315,63.94,58.961,55.092,58.393,68.818,67.342,70.254,73.297,64.914,61.516,66.187,75.646
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,41.466,44.147,37.017,40.364,47.765,48.674,41.835,41.692,35.312,35.538,36.48,43.786,37.418,37,35.145
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,30.532,31.897000000000002,32.41,34.778,35.412,35.463,35.339,42.242999999999995,35.196,32.919,31.823999999999998,28.826999999999998,31.761000000000003,24.769,26.435000000000002
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,153.37900000000002,144.073,134.697,130.129,126.34299999999999,133.617,124.14699999999999,172.09199999999998,226.257,219.518,186.874,170.431,193.066,206.03,193.018
