Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,152922.727,157662.281,155001.88600000003,160388.081,162709.802,165722.989,163083.647,169268.08399999997,176314.713,182943.05599999998,189052.81199999998,193539.47600000002,194989.457,202334.38499999998,200309.292
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,17491.937,18053.12,15834.756,17864.576,17451.155,17530.643,18054.632,17428.203,16101.193,18153.313,18811.485,19330.999,18860.262,20007.592,20524.509
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",17491.937,18053.12,15834.756,17864.576,17451.155,17530.643,18054.632,17428.203,16101.193,18153.313,18811.485,19330.999,18860.262,20007.592,20524.509
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,50110.117,50705.738000000005,47611.223000000005,48037.634000000005,48728.858,49537.434,49546.625,50604.066999999995,55425.117999999995,56363.727,59411.166999999994,61155.432,59623.325,60609.003,60312.628000000004
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,6489.312,6847.449,7161.582,7447.438,7485.741,6205.132,5863.992,6130.308,6709.335,7528.627,9799.896,9807.035,9901.05,9075.709,8128.737
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,6489.312,6847.449,7161.582,7447.438,7485.741,6205.132,5863.992,6130.308,6709.335,7528.627,9799.896,9807.035,9901.05,9075.709,8128.737
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",2198.887,2829.665,3005.548,3323.031,3684.701,3315.487,3308.165,3521.141,3592.288,3127.847,3394.372,3794.132,3672.058,3473.25,3708.936
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,15062.795,14441.678,10657.463,11070.242,11914.529,12296.172,13142.965,13246.695,16197.136,14728.044,15374.972,17975.351,15681.035,17784.389,17277.239
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,26359.123,26586.946000000004,26786.630000000005,26196.923,25643.887000000002,27720.643000000004,27231.502999999997,27705.923,28926.358999999997,30979.209,30841.926999999996,29578.914000000004,30369.181999999993,30275.655000000002,31197.716
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,12640.673,13423.14,14259.252,14104.401,14266.071,15029.476,15334.708,15389.086,15562.011,15161.68,15311.738,13948.602,14376.552,14435.509,14222.427
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,331.541,370.876,305.243,295.343,305.209,307.822,293.328,285.398,319.036,370.933,418.914,399.373,451.201,455.888,458.19
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",127.12,153.495,190.56900000000002,155.015,110.89099999999999,94.411,78.304,96.036,95.334,112.548,126.57900000000001,123.613,128.863,128.793,129.149
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",2248.6259999999997,2489.156,2327.263,2057.5769999999998,1254.323,2333.032,2508.389,1922.639,1738.073,2361.9300000000003,2614.7400000000002,2463.6079999999997,2789.847,3105.461,3444.975
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,6282.648,4956.645,4375.221,4593.812,4834.839,4379.469,4564.619,4957.09,5443.677,6771.978,6010.08,5938.558,6283.866,5756.514,6388.844
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,276.371,305.96500000000003,315.428,345.733,358.577,370.579,334.595,358.801,342.47799999999995,390.905,375.736,372.77000000000004,364.242,378.846,406.614
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,554.245,608.294,631.6610000000001,683.2059999999999,719.754,698.248,623.6800000000001,683.3919999999999,700.622,753.62,842.152,805.521,820.156,849.785,771.995
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,647.846,722.419,633.271,724.672,718.532,653.541,582.797,588.577,639.926,466.806,436.904,452.598,438.691,440.198,430.784
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,454.427,521.473,627.27,775.9689999999999,1003.4839999999999,1116.35,903.465,972.2819999999999,1306.076,1418.226,1256.837,1204.696,1036.172,1027.131,1016.8030000000001
