Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,182713.98099999997,192557.837,195219.88900000002,199540.65000000002,204879.83000000002,208284.821,201239.316,211890.53500000003,214478.174,218118.48099999997,218811.37799999997,229021.25599999996,232024.32,237009.51799999998,237015.26
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,10982.639,10455.419,10817.27,11488.758,11576.74,12013.442,11609.041,12380.518,12281.079,11827.406,10921.653,12182.689,11450.104,12708.498,13119.808
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",10982.639,10455.419,10817.27,11488.758,11576.74,12013.442,11609.041,12380.518,12281.079,11827.406,10921.653,12182.689,11450.104,12708.498,13119.808
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,28001.112,30731.83,31416.524,33701.240999999995,37045.71,39942.722,36614.763,38657.263999999996,38047.191,39336.803,41978.604,45549.295,42498.340000000004,43738.767,41654.759999999995
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,1074.506,1042.364,1310.895,1457.177,2657.59,4603.387,3427.466,3670.044,3267.007,4508.721,5003.345,3829.318,4228.759,6969.105,7085.061
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,1074.506,1042.364,1310.895,1457.177,2657.59,4603.387,3427.466,3670.044,3267.007,4508.721,5003.345,3829.318,4228.759,6969.105,7085.061
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",4893.29,4565.415,5982.975,6765.904,7376.656,5371.326,6783.125,8914.733,8611.831,8679.794,8796.325,10158.633,9575.444,10040.18,10500.605
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,15021.401,17862.491,16798.441,18474.928,20021.481,23164.724,19998.433,19610.785,19535.756,19566.728,21657.353,25223.942,22460.597,20498.871,18027.205
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,7011.914999999999,7261.5599999999995,7324.213,7003.231999999999,6989.983,6803.285000000002,6405.7390000000005,6461.702000000001,6632.597,6581.56,6521.581000000001,6337.402,6233.540000000002,6230.610999999999,6041.888999999998
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,4678.629,5017.628,4841.472,4490.297,4403.972,4288.272,4066.544,4084.366,4234.717,4203,4191.142,4061.742,4006.715,3975.719,3842.031
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,393.449,405.652,624.889,610.123,567.605,544.898,540.893,482.399,532.343,532.526,540.791,442.25,409.283,446.378,471.208
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",80.559,86.96799999999999,85.32900000000001,91.92699999999999,90.313,74.726,84.634,101.894,87.28800000000001,100.88,105.722,111.30499999999999,110.394,117.67099999999999,99.356
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",250.861,229.747,214.21499999999997,204.351,192.487,212.00400000000002,208.899,235.596,224.927,214.51399999999998,214.948,207.173,197.096,202.28,193.785
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,464.835,413.513,415.846,433.068,577.431,534.116,421.312,399.228,368.644,400.306,405.108,430.11,445.338,443.845,440.93
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,57.323,57.59,57.224,60.138000000000005,61.974,66.39,62.878,66.87,62.078,64.06400000000001,61.902,59.372,56.207,54.396,47.32899999999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,79.99499999999999,96.30199999999999,89.553,87.93900000000001,89.02799999999999,96.109,84.77900000000001,92.509,108.401,62.446,64.719,68.708,58.479,47.157000000000004,36.663
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,170.266,182.084,193.05,224.91,225.29,222.77,206.968,210.005,224.23,193.966,221.683,242.175,202.864,174.132,174.271
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,162.304,166.56,180.243,207.16299999999998,223.426,236.502,219.69299999999998,238.091,247.22,223.334,177.22500000000002,171.886,183.55100000000002,192.656,182.37099999999998
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",198.29,218.68800000000002,227.97200000000004,236.10899999999998,239.784,228.858,236.81699999999998,286.23299999999995,258.146,280.55499999999995,238.863,227.23899999999998,224.011,224.257,237.26799999999997
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",127.571,133.424,141.029,134.258,136.961,137.435,114.756,125.869,133.599,132.2,117.937,110.922,112.84,129.929,104.182
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,347.833,253.404,253.391,222.949,181.712,161.205,157.566,138.642,151.004,173.769,181.541,204.52,226.762,222.191,212.495
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,143730.22999999998,151370.588,152986.09500000003,154350.651,156257.38,156328.657,153015.512,160852.75300000003,164149.904,166954.27199999997,165911.12099999998,171289.27199999997,178075.87600000002,180562.253,182240.692
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|43---Comercio al por mayor<C1>,17925.746,18947.708,19809.788,19872.274,19661.237,19085.743,17579.285,19324.833,20010.001,19870.714,17880.721,19059.694,19830.896,20269.254,19966.201
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|46---Comercio al por menor<C1>,19848.624,20744.747,21697.558,22944.216,23516.164,23718.868,21299.225,23399.501,24535.694,23852.106,24289.304,25569.318,28469.052,26834.012,27882.426
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",19100.711,20466.354,21057.129,18614.276,18729.796,18435.96,18773.575,20321.469,21439.165,22354.551,22382.915,22584.916,23114.367,23489.493,22835.739
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|51---Información en medios masivos<C1>,602.321,680.536,778.75,915.526,1094.947,1179.528,1270.544,1347.667,1427.43,1825.878,1984.28,2110.907,2397.107,3034.767,3294.484
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|52---Servicios financieros y de seguros<C1>,1580.154,2138.665,1813.707,2059.806,2358.61,2814.089,3212.111,3943.66,4649.317,5346.295,5323.14,5820.836,6495.247,7022.231,7019.302
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,25131.57,25672.099,26161.43,27082.78,27946.713,28851.897,29534.212,30608.646,31413.36,32134.262,32325.051,32801.419,33451.446,33689.664,33813.545
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",1524.926,1436.428,1507.748,1582.323,1760.877,1741.44,1629.888,1375.281,1573.676,1404.88,1485.279,1528.577,1475.652,1706.925,1705.733
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|55---Corporativos<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación<C1>",3596.578,3513.819,3433.1,3262.319,3163.788,3170.341,2826.867,2611.098,2716.655,2746.461,2849.625,2837.965,2788.167,2846.481,2996.238
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|61---Servicios educativos<C1>,17696.722,18310.906,18030.97,17570.159,16872.293,16099.801,17099.512,16775.256,16832.699,16644.351,16414.913,16261.362,16327.448,17317.188,17500.669
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,7056.29,6937.283,6991.515,7253.198,7079.597,6727.318,6851.954,6826.201,7067.432,6819.134,6905.624,7010.804,7155.897,7048.349,7251.98
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",418.849,416.034,406.713,440.115,473.357,465.589,458.64,472.529,458.342,471.048,483.33,464.388,474.625,483.626,490.366
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas<C1>,10441.662,13077.126,12579.139,12923.496,13733.286,14059.602,11869.067,12818.629,11162.587,11616.156,11368.497,12429.762,13012.518,13206.101,13909.311
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|81---Otros servicios excepto actividades gubernamentales<C1>,4972.494,5218.393,5260.018,5318.567,5378.296,5349.728,5303.628,5508.298,5528.602,5566.006,5676.233,5823.28,5860.298,6169.217,6173.268
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales<C1>",13833.583,13810.49,13458.53,14511.596,14488.419,14628.753,15307.004,15519.685,15334.944,16302.43,16542.209,16986.044,17223.156,17444.945,17401.43
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,6.010836685782,5.429755113005,5.541069639682,5.757602774172,5.650502540929,5.767795244186,5.768773831452,5.842883921172,5.726027395216,5.422468534429,4.991355157043,5.319457771204,4.934872344416,5.362020102501,5.535427550108
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",6.010836685782,5.429755113005,5.541069639682,5.757602774172,5.650502540929,5.767795244186,5.768773831452,5.842883921172,5.726027395216,5.422468534429,4.991355157043,5.319457771204,4.934872344416,5.362020102501,5.535427550108
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,15.32510640223,15.959791862431,16.092891027102,16.889411255301,18.081677439892,19.17697209438,18.194636976405,18.243978665682,17.739423219819,18.034603404376,19.184835991481,19.888675748071,18.316329943344,18.454434813036,17.574716497157
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,0.588080886925,0.541325150012,0.671496642435,0.730265737833,1.297145746363,2.210140411528,1.703179114364,1.732047162937,1.523235180098,2.067097193841,2.286601842067,1.672036066382,1.82254989477,2.940432544148,2.989284740569
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,0.588080886925,0.541325150012,0.671496642435,0.730265737833,1.297145746363,2.210140411528,1.703179114364,1.732047162937,1.523235180098,2.067097193841,2.286601842067,1.672036066382,1.82254989477,2.940432544148,2.989284740569
