Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,438354.387,450953.155,454625.559,477646.929,488729.604,503024.42299999995,481674.90599999996,517168.681,548163.1699999999,570921.987,594575.5319999999,621005.836,661221.4879999999,689459.7039999999,723052.453
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,21768.244,23298.8,20878.187,20307.976,21992.044,22505.655,22648.509,22061.938,22204.227,21876.664,23507.447,23774.793,23085.276,23706.583,25051.778
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",21768.244,23298.8,20878.187,20307.976,21992.044,22505.655,22648.509,22061.938,22204.227,21876.664,23507.447,23774.793,23085.276,23706.583,25051.778
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,149363.013,153284.384,153069.946,164007.543,163302.61100000003,166996.14299999998,157349.272,169926.76400000002,182392.259,191930.408,206339.71499999997,227391.484,248530.73899999997,258440.652,267767.789
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,3016.255,2660.32,2885.362,3494.641,3065.186,3013.236,2210.085,2048.977,1926.947,2623.729,3125.736,2739.633,2931.41,2876.532,3032.254
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,3016.255,2660.32,2885.362,3494.641,3065.186,3013.236,2210.085,2048.977,1926.947,2623.729,3125.736,2739.633,2931.41,2876.532,3032.254
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",7126.147,6953.595,7155.039,8080.237,8639.099,8223.063,6249.397,6287.62,6628.266,7796.141,8674.236,9710.587,9386.571,10324.17,11831.018
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,40142.96,39852.458,37138.353,44209.041,43565.355,45065.734,40899.464,38199.329,45664.335,49107.615,53936.6,53107.478,54160.612,56199.237,60561.798
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,99077.65100000001,103818.011,105891.19200000001,108223.624,108032.97100000002,110694.11,107990.32600000002,123390.83800000002,128172.711,132402.923,140603.14299999998,161833.786,182052.14599999998,189040.71300000002,192342.719
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,26512.063,27693.498,28870.337,29762.897,30875.804,31952.513,33186.728,34985.884,36198,36813.569,36123.191,37321.588,39358.502,40533.882,41471.014
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,2028.694,2341.743,2089.724,2131.15,2197.776,2448.809,2539.626,2637.143,3092.919,2066.395,1833.442,6011.985,10034.982,10526.385,11143.872
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",1582.79,1532.6680000000001,1536.683,1649.193,1758.054,1539.383,1535.2510000000002,1606.4569999999999,1586.381,1766.924,1767.271,1813.726,1875.805,2082.105,2281.959
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",15087.073,15295.593,15494.065,16044.922999999999,15690.092,15819.815999999999,15227.555,16745.799,16524.685,16762.793,17191.899,17075.089,17855.740999999998,17952.345,17707.894
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,267.16,271.043,286.728,314.002,331.402,340.263,316.526,348.325,342.128,411.51,443.629,491.131,485.991,506.845,547.525
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,1513.158,1604.306,1733.558,1926.176,2021.661,2148.474,2101.072,2295.075,2429.692,2577.402,2637.504,2660.754,2734.078,2684.819,2712.025
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,21908.841,23301.013,23075.395,23854.977,23159.548,23984.941,23706.317,25038.159,25796.245,26653.239,27649.378,27219.238,27169.130999999998,28194.466,28328.888
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,1612.655,1672.214,1774.794,1897.894,1847.337,1782.28,1453.318,1620.39,2197.455,2317.974,2401.783,2474.499,2715.334,2792.727,2911.77
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,4504.077,4295.079,6853.763999999999,7204.49,6704.831,8286.833,7580.263,9356.861,9627.999,10034.238,12829.746,12701.01,13235.560000000001,13780.844000000001,13714.44
