Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,179553.37799999997,191549.57900000003,190073.77899999998,195404.535,201655.418,208800.33500000002,195581.12600000005,206303.584,214569.188,222797.00499999998,230982.76700000005,240079.594,253581.60100000002,264151.579,265228.52499999997
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,10032.916,10025.754,9928.484,10950.176,10667.766,10899.583,10097.418,10304.073,9041.252,10407.18,10711.134,10747.919,10544.883,10549.625,10567.407
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",10032.916,10025.754,9928.484,10950.176,10667.766,10899.583,10097.418,10304.073,9041.252,10407.18,10711.134,10747.919,10544.883,10549.625,10567.407
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,65078.82199999999,74253.75700000001,71022.176,70076.389,74125.08699999998,75881.564,69870.736,70683.702,72819.79599999999,74831.688,75661.767,80442.28700000001,86998.964,89760.641,85645.484
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,1531.738,1782.409,1516.294,1494.261,1726.577,1994.477,1559.273,1922.296,1974.475,2175.549,2362.449,2413.714,2867.187,2551.883,2526.144
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0.121,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,1531.617,1782.354,1516.294,1494.261,1726.577,1994.477,1559.273,1922.296,1974.475,2175.549,2362.449,2413.714,2867.187,2551.883,2526.144
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",4132.366,4793.774,4998.823,5437.197,5927.958,5873.717,5341.987,5535.02,6246.705,6537.753,6950.002,6959.819,7094.741,7299.932,6863.872
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,13269.464,18185.707,14688.724,13752.542,15567.106,19404.199,15125.671,16330.138,17221.802,18253.984,18859.416,22168.416,26974.622,28226.996,23000.953
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,46145.25399999999,49491.86700000001,49818.335,49392.388999999996,50903.44599999999,48609.171,47843.805,46896.248,47376.81399999999,47864.402,47489.90000000001,48900.33800000001,50062.414000000004,51681.83,53254.515
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,8815.464,9150.151,9874.464,10178.229,10073.988,10158.121,10398.255,10722.36,10811.376,11014.267,11028.039,11376.378,11848.931,12474.508,13116.757
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,906.86,958.556,958.032,1085.568,1103.332,944.171,1417.45,1333.796,1501.817,1524.057,1380.869,1139.37,1085.719,1210.258,1306.498
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",5175.024,4811.138,4609.621,5610.463,5803.216,5696.724999999999,5022.974999999999,5075.84,5397.155,5636.1759999999995,4789.593,4668.12,5172.734,5100.693,4849.228
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",2228.579,2057.918,1895.617,1786.259,1756.023,1827.3719999999998,1822.806,1994.259,2000.944,1917.435,2127.913,2363.728,2618.378,2633.5,2918.175
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,259.428,273.357,312.287,298.423,284.711,276.138,292.518,354.98,286.732,276.319,322.71,197.086,212.466,220.011,239.496
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,737.1030000000001,870.698,880.58,937.754,942.583,1099.5520000000001,1081.461,1131.248,1183.865,1315.101,1695.062,1583.78,1487.4740000000002,1421.076,1296.46
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,17730.597999999998,19537.904000000002,18705.93,17169.775999999998,17896.65,16660.367000000002,18040.583,16504.912,17005.569,16309.765,14957.739999999998,15490.210000000001,14627.427999999998,12701.396999999999,13335.655
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,2602.938,2714.83,2843.009,2755.669,2767.999,2867.631,2672.388,2627.86,2817.527,2861.197,2986.615,3069.241,3184.551,3216.487,3317.872
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,3384.075,3620.0029999999997,4052.966,4179.591,4327.3060000000005,4573.928,3432.561,3788.614,2032.844,2012.659,1994.245,2464.891,2570.174,2846.6530000000002,3054.594
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",3400.545,4566.767,4761.379000000001,4370.589,4993.074,3642.6769999999997,2766.197,2394.9970000000003,3449.871,4142.099,5373.798,5640.126,6309.544,8791.754,8671.832999999999
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",717.084,713.122,685.179,766.125,714.472,620.029,662.923,712.375,643.149,606.516,577.031,618.381,662.622,626.917,654.78
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,187.556,217.423,239.271,253.943,240.092,242.46,233.688,255.007,245.965,248.811,256.285,289.027,282.393,438.576,493.167
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,104441.63999999998,107270.06800000001,109123.11899999998,114377.97,116862.565,122019.18800000002,115612.97200000002,125315.809,132708.14,137558.137,144609.86600000004,148889.388,156037.75400000002,163841.313,169015.63399999996
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|43---Comercio al por mayor<C1>,10418.459,10788.621,10961.093,11650.48,11945.844,12600.654,11948.898,13805.118,15409.458,16892.439,17374.449,17335.119,18467.499,18574.286,20335.673
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|46---Comercio al por menor<C1>,18088.85,18333.607,18605.895,20125.125,19187.421,19422.941,15679.265,18233.749,20695.405,20317.102,21933.469,21924.016,23888.841,26586.998,25811.417
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",9847.905,10250.566,10961.172,11741.699,13055.309,15340.467,14370.892,16944.746,17597.483,18315.802,19925.879,21194.107,22735.93,24124.42,26033.191
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|51---Información en medios masivos<C1>,377.455,443.611,511.572,620.632,775.698,840.561,882.777,891.089,936.111,1142.031,1207.726,1219.755,1298.045,1699.362,1727.754
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|52---Servicios financieros y de seguros<C1>,1225.164,1747.122,1584.776,1888.963,2067.46,2520.536,2728.336,3268.04,3353.096,4026.808,4562.225,5047.685,6002.443,7057.492,7813.626
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,24425.101,25502.48,26160.56,27613.403,28783.676,29999.951,30183.266,31138.384,32075.754,32965.884,33406.552,34123.294,34956.075,36059.381,37110.057
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",943.3,1111.8,1250.006,1275.831,1472.073,1397.117,1342.254,1251.644,1071.462,1314.366,1439.447,1551.232,1570.128,1618.992,1365.815
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|55---Corporativos<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación<C1>",1983.613,2055.683,2105.4,2223.195,2437.723,2430.508,2258.853,2251.789,2564.235,2714.256,2802.801,2884.845,2927.143,3179.827,3310.407
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|61---Servicios educativos<C1>,13029.928,13391.41,13734.794,14011.311,13587.396,13558.714,13280.706,13275.998,13431.645,13825.649,14524.047,15173.846,14735.877,15318.912,15737.82
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,5139.201,5066.414,4949.985,5205.784,5145.949,4750.328,5012.134,4930.09,5442.461,5436.688,5694.661,5604.607,5722.701,5868.598,5899.012
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",896.747,920.72,924.619,964.09,1013.056,1033.415,995.893,1035.065,1071.878,1118.588,1163.655,1165.781,1218.72,1288.26,1331.697
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas<C1>,3582.343,3277.533,3115.424,2976.643,2946.893,2611.448,2108.66,2430.67,2851.879,3314.977,3399.248,3789.42,4457.255,4236.342,4131.527
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|81---Otros servicios excepto actividades gubernamentales<C1>,4392.189,4441.349,4484.147,4547.175,4915.577,5083.759,4793.808,5149.287,5261.202,5170.093,5371.06,5559.139,5801.742,5752.709,5696.316
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales<C1>",10091.385,9939.152,9773.676,9533.639,9528.49,10428.789,10027.23,10710.14,10946.071,11003.454,11804.647,12316.542,12255.355,12475.734,12711.322
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,5.58770662616,5.23402559919,5.223489558757,5.603849470536,5.290096396021,5.220098425608,5.162777312163,4.994616574378,4.213676755863,4.671148968093,4.637200488641,4.476814884984,4.158378588358,3.99377699726,3.98426489006
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",5.58770662616,5.23402559919,5.223489558757,5.603849470536,5.290096396021,5.220098425608,5.162777312163,4.994616574378,4.213676755863,4.671148968093,4.637200488641,4.476814884984,4.158378588358,3.99377699726,3.98426489006
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,36.244832998909,38.764771704353,37.365583182307,35.862212205055,36.758291810439,36.341686903903,35.724682349973,34.261984513076,33.937676084229,33.587385072793,32.756455376604,33.506507429365,34.308074267581,33.980732327934,32.291203972122
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,0.853082251674,0.930520969717,0.79773970296,0.76470129007,0.856201641951,0.955207758647,0.797251264419,0.931780225398,0.920204349191,0.976471384793,1.022781496076,1.005380740522,1.130676274893,0.966067668291,0.952440541605
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0.000067389431,0.000028713193,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,0.853014862243,0.930492256524,0.79773970296,0.76470129007,0.856201641951,0.955207758647,0.797251264419,0.931780225398,0.920204349191,0.976471384793,1.022781496076,1.005380740522,1.130676274893,0.966067668291,0.952440541605
