Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,794957.3219999999,819238.3099999999,842128.813,886009.7259999999,913139.834,918573.456,870319.0999999999,925371.837,953148.0560000001,995285.9989999998,1018578.6070000002,1062083.7759999998,1107681.987,1161974.7939999998,1192495.755
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,45266.923,48731.225,46693.767,50078.72,53074.537,53142.478,50839.069,55802.037,52703.563,57514.461,57476.853,61028.816,62317.327,63570.982,67880.882
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",45266.923,48731.225,46693.767,50078.72,53074.537,53142.478,50839.069,55802.037,52703.563,57514.461,57476.853,61028.816,62317.327,63570.982,67880.882
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,256279.691,257616.37299999996,270439.66500000004,289305.50800000003,297560.38500000007,287315.605,264119.718,283245.139,289495.552,301333.2459999999,310653.507,333448.43299999996,355037.6,363322.99199999997,372797.905
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,2087.437,1918.686,2143.549,2097.356,1709.092,1543.197,1573.037,2149.883,2934.77,3096.575,2943.175,3103.379,2879.404,2793.483,2979.041
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,2087.437,1918.686,2143.549,2097.356,1709.092,1543.197,1573.037,2149.883,2934.77,3096.575,2943.175,3103.379,2879.404,2793.483,2979.041
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",10323.727,10613.328,10541.641,12636.392,13991.992,13429.142,13232.865,13774.414,12780.239,13248.06,13162.756,14273.688,14750.48,14948.52,15127.856
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,57668.886,64374.019,67769.179,69604.059,77213.266,85835.129,72298.925,75457.266,82857.649,83805.358,82954.494,80399.121,88885.886,90686.72,92673.992
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,186199.641,180710.33999999997,189985.29600000003,204967.701,204646.03500000006,186508.13700000002,177014.891,191863.57600000003,190922.89400000003,201183.25299999997,211593.082,235672.245,248521.83000000002,254894.26899999997,262017.01600000003
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,54464.374,54835.117,56205.994,57178.173,56741.151,56924.137,56409.63,59155.076,58891.659,61337.927,63538.771,64611.337,66976.931,68568.184,68073.856
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,17574.449,18959.023,21430.907,23037.224,23445.876,26251.291,25628.073,25840.71,25037.269,28535.173,30894.27,31904.54,33886.337,35154.702,35838.964
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",2099.654,2192.246,1964.3850000000002,2057.75,1789.099,1413.659,1264.373,1269.788,1194.551,1344.4470000000001,1354.452,1467.463,1544.265,1624.406,1364.6680000000001
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",7369.0470000000005,7186.138999999999,6950.362999999999,7315.984,6849.1,6300.929,6106.0830000000005,6253.085,5643.406,5503.437,5257.629,4948.035,4980.999,4323.348,4225.307
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,1951.392,2032.563,1708.777,1730.336,1820.702,1706.667,1559.395,1425.316,1347.681,1540.875,1165.13,1192.061,1249.565,1153.624,1152.922
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,2766.277,2704.3940000000002,2765.7239999999997,3079.51,3169.1389999999997,3363.058,3660.827,4477.199,5660.771,5406.8060000000005,3846.568,3330.388,4179.957,4725.093,4925.54
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,25547.466,26174.521,27635.697999999997,28428.93,26598.732000000004,26020.076999999997,22916.684,23354.525,23552.799,24791.564,23585.626,24436.539000000004,26760.542999999998,26919.013000000003,28353.673
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,2752.408,2890.619,3102.257,3232.046,3065.171,2959.724,2830.452,3026.862,3157.273,3335.519,3111.648,3316.051,3424.431,3430.42,3605.25
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,12418.323,13855.033,12536.065999999999,12390.662,12051.321,11652.68,10445.278,12517.469,12769.077000000001,12699.283,11246.835000000001,13035.858,13303.372,13523.164,14405.699
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",53946.839,44358.324,49888.948000000004,60603.72,63193.06300000001,44426.873999999996,40885.264,48725.458000000006,47567.83899999999,50499.087999999996,61338.505999999994,81058.472,85526.28000000001,88791.602,93723.24200000001
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",3415.283,3599.137,3635.102,3569.534,3435.266,3304.156,3105.468,3459.719,3531.6,3502.503,3365.358,3341.933,3619.64,3445.131,3177.957
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,1894.129,1923.224,2161.075,2343.832,2487.415,2184.885,2203.364,2358.369,2568.969,2686.631,2888.289,3029.568,3069.51,3235.582,3169.938
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,493410.708,512890.712,524995.3809999999,546625.4979999999,562504.912,578115.373,555360.3129999998,586324.6610000001,610948.941,636438.2919999999,650448.2470000002,667606.5269999999,690327.0599999999,735080.8199999998,751816.968
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|43---Comercio al por mayor<C1>,66257.4,70059.44,73149.617,79181.343,82911.792,84942.854,77721.386,88338.568,97049.099,105219.942,105394.189,114453.136,126214.231,133445.612,134906.739
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|46---Comercio al por menor<C1>,99170.535,105072.276,108332.445,110153.477,108379.181,110230.922,100832.629,107044.869,113365.628,113136.501,116810.72,112709.638,110879.27,124014.843,121890.863
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",42529.326,43624.256,43586.38,45197.142,46246.12,44842.546,41643.311,45115.212,46218.87,48007.686,49776.156,52012.122,55160.511,57696.825,59650.236
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|51---Información en medios masivos<C1>,5554.592,6522.473,7572.083,8654.069,10299.54,10919.683,11727.921,11745.883,12140.514,14153.187,14697.765,15452.545,17849.794,22018.708,23680.117
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|52---Servicios financieros y de seguros<C1>,10913.274,13658.766,12825.374,14311.44,15646.742,19432.601,20777.956,24325.141,24014.034,27329.234,31430.076,33456.636,38385.784,42235.548,46248.575
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,103439.752,107142.064,109775.225,114411.212,118391.663,122393.39,123772.619,127833.348,131797.55,135384.297,136796.805,139492.748,143101.692,147233.13,150756.853
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",15439.453,14710.79,15484.116,16059.104,17037.157,19401.985,16158.947,16645.916,17749.131,17643.181,17959.224,19964.105,20766.191,21643.439,23452.707
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|55---Corporativos<C1>,900.498,911.17,939.711,983.709,997.69,1023.283,982.254,999.742,1048.24,1102.435,1073.001,1079.802,1135.933,1258.887,1310.736
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación<C1>",21041.472,22299.638,22919.263,25496.089,27300.634,29466.661,25938.673,25869.55,27207.163,27197.522,27736.471,26262.389,26463.733,28265.94,29739.647
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|61---Servicios educativos<C1>,35429.746,36125.806,36242.823,35992.166,36926.54,36633.471,37074.106,37869.074,37994.336,38736.542,39474.334,38725.82,38258.358,39121.842,38951.762
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,19659.222,19732.65,18856.318,19979.179,20541.095,20433.056,20861.448,20762.199,21718.767,22802.162,22867.165,22659.99,21655.502,23332.019,23128.64
