Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,1048403.5900000001,1073840.8099999998,1099376.7940000002,1150701.9500000002,1184658.4279999998,1198144.3499999999,1138727.918,1226813.687,1283448.1970000002,1339994.611,1365154.2290000003,1405514.291,1438521.8790000002,1482034.1530000002,1549794.805
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,19512.859,20341.809,17816.53,19393.066,22297.792,20584.935,17579.481,19125.925,16241.237,19620.513,19904.044,20830.631,21390.794,22810.928,22313.127
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",19512.859,20341.809,17816.53,19393.066,22297.792,20584.935,17579.481,19125.925,16241.237,19620.513,19904.044,20830.631,21390.794,22810.928,22313.127
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,333112.582,337044.49199999997,340528.528,348648.686,351911.728,348496.19299999997,322571.924,357699.01099999994,371542.84500000003,377182.262,382416.135,374492.93500000006,377256.2580000001,377118.905,403765.96300000005
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,3004.357,2978.916,3250.879,3331.376,3491.849,3416.498,3534.49,3860.164,3815.036,3987.786,4682.517,4488.16,4484.554,4712.715,4476.358
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,3004.357,2978.916,3250.879,3331.376,3491.849,3416.498,3534.49,3860.164,3815.036,3987.786,4682.517,4488.16,4484.554,4712.715,4476.358
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",10547.548,10994.815,13026.454,13380.349,15621.344,16142.639,18787.548,19076.972,20630.148,18819.7,20024.069,21474.155,22701.181,21923.676,21597.884
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,43932.024,48835.162,52760.141,54662.256,58590.351,58024.417,55313.674,68038.459,64361.934,60903.488,68639.485,70153.405,66578.955,74091.259,86249.518
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,275628.653,274235.599,271491.054,277274.705,274208.184,270912.63899999997,244936.212,266723.41599999997,282735.727,293471.288,289070.064,278377.215,283491.5680000001,276391.255,291442.20300000004
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,65445.274,68302.031,70050.367,69455.278,71248.753,70752.391,69937.34,73919.533,76620.401,81113.276,83210.857,84194.783,85021.883,84289.741,84550.646
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,10273.455,10041.393,13334.338,15177.483,15306.53,15076.235,15124.378,15809.729,16643.287,17329.327,19695.114,13955.231,9574.438,9917.902,10132.085
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",8293.355,9578.213000000002,8872.264000000001,8714.173,8712.14,8030.726,7634.917,7456.450999999999,6260.427,6063.999000000001,6224.817000000001,5993.159,6224.664,6365.102000000001,6189.33
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",7873.715999999999,7724.884,7519.3099999999995,7553.724,7421.5509999999995,7211.367,6882.165,7663.822,7524.423,7821.603,8900.219,8886.559,9095.421999999999,8605.076000000001,8624.591
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,1499.734,1586.223,1655.022,1497.751,1443.931,1361.275,1214.932,1245.027,1247.237,1256.801,1291.35,1358.5,1482.205,1350.964,1096.759
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,11336.515,11267.214,11162.67,11477.218,11821.129,12794.839,12524.637,12725.079000000002,12256.152999999998,12357.767,12352.788999999999,12300.427,12673.968,12984.229,13054.051
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,44584.28,45472.479,47635.593,49923.77099999999,50462.309,48870.755,47831.776999999995,49301.102,49563.835999999996,50050.5,50984.090000000004,48337.693,48769.7,50679.536,51991.807
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,7737.242,7932.185,8093.29,8420.399,8385.825,8790.682,7284.423,7513.198,7642.048,7437.983,6901.804,7108.306,7731.471,7508.143,7932.343
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,19243.676,21995.976000000002,19317.578999999998,19587.218,18793.926,18423.66,16509.348,16375.316,17227.89,17811.787,15527.523,16329.749,17408.385000000002,16977.511,17596.103
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",91404.85800000001,81756.80600000001,75137.766,76148.53,71053.07,70183.93,50596.773,64284.20999999999,74585.87700000001,79635.109,70997.11,65946.966,71456.831,63479.380999999994,76069.295
