Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,294468.30600000004,301021.642,306026.395,320451.426,328272.18999999994,334657.914,317003.042,329767.26,343275.664,352030.387,359465.98699999996,383195.31999999995,391667.4309999999,408268.07099999994,420986.147
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,32803.547,30908.902,30183.248,34472.557,36053.211,38699.199,35964.264,33923.768,38108.062,37810.691,39538.431,43874.151,42829.06,49948.849,53280.926
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",32803.547,30908.902,30183.248,34472.557,36053.211,38699.199,35964.264,33923.768,38108.062,37810.691,39538.431,43874.151,42829.06,49948.849,53280.926
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,62920.68499999999,67431.77399999999,67491.648,69989.45100000002,73824.211,73008.125,60790.66,66485.29299999999,66962.787,67719.208,68417.837,74346.664,72905.879,71802.011,70224.50099999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,2681.673,3208.555,4250.879,3933.357,2442.269,1995.326,1734.291,1888.441,1981.581,2287.647,2926.006,2506.191,2242.773,2206.65,2153.561
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,2681.673,3208.555,4250.879,3933.357,2442.269,1995.326,1734.291,1888.441,1981.581,2287.647,2926.006,2506.191,2242.773,2206.65,2153.561
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",4274.323,5631.219,5420.84,6307.839,7021.664,7210.68,6221.207,6948.164,6835.28,6801.23,7048.647,7917.164,7635.063,7629.255,8051.292
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,16194.017,16376.397,14762.153,16755.631,19171.124,20501.952,17820.982,18248.739,21836.141,21681.843,19296.273,22199.947,24133.628,22889.345,20039.26
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,39770.67199999999,42215.60299999999,43057.776,42992.62400000001,45189.153999999995,43300.166999999994,35014.18000000001,39399.94899999999,36309.784999999996,36948.488,39146.911,41723.362,38894.415,39076.761000000006,39980.38799999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,9609.67,9958.623,9833.93,10146.649,10647.171,10827.381,11001.044,11079.958,11198.161,11817.458,12445.358,13131.461,13717.77,13759.554,12943.645
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,721.051,1077.22,582.59,573.262,540.341,512.428,527.521,508.924,567.044,568.052,576.256,812.419,1360.746,1586.549,1620.247
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",474.559,483.767,429.515,472.666,471.249,450.526,535.446,514.434,562.875,572.1510000000001,584.015,560.668,531.029,601.762,520.363
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",954.356,896.2470000000001,814.706,797.692,779.6859999999999,769.8530000000001,713.865,730.0260000000001,737.6790000000001,796.968,826.7239999999999,845.087,813.327,831.9209999999999,684.605
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,1949.679,2376.731,2132.754,2032.635,2296.829,2008.12,2149.728,2336.482,2445.507,2431.506,2393.144,2283.073,2476.232,2319.448,2403.287
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,592.004,585.335,533.286,548.986,547.472,563.3530000000001,573.633,537.496,524.097,495.781,475.70399999999995,486.706,490.16600000000005,509.727,501.155
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,2132.618,2309.927,2444.654,2464.6639999999998,2409.949,2547.9210000000003,3159.8770000000004,3148.048,3130.201,3259.319,3081.2299999999996,3038.288,3153.859,3148.384,3317.3900000000003
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,502.456,544.102,640.555,670.668,686.27,666.919,608.177,612.428,626.708,572.478,555.432,620.488,600.54,572.616,529.765
