Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,158055.834,159734.875,171279.47100000002,168177.81,169325.362,169672.507,168348.348,174984.467,174678.088,175717.837,182126.14299999998,184150.263,186472.28200000004,192332.162,202036.068
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,5113.053,5235.684,5697.548,5724.729,5983.812,5229.43,5614.585,5822.891,5349.988,5223.279,6056.056,5693.227,5384.413,5853.982,6037.642
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",5113.053,5235.684,5697.548,5724.729,5983.812,5229.43,5614.585,5822.891,5349.988,5223.279,6056.056,5693.227,5384.413,5853.982,6037.642
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,53199.839,52038.303,60804.926999999996,54497.191,55524.17,56967.156,60724.166,62962.832,58397.593,54868.363000000005,55777.992999999995,57828.085999999996,55211.614,56813.937000000005,63220.460999999996
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,1478.607,1334.799,1460.936,1306.763,1319.987,1415.914,1685.164,1874.574,1540.46,1188.323,1101.34,1181.785,1025.554,950.062,1247.636
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,1478.607,1334.799,1460.936,1306.763,1319.987,1415.914,1685.164,1874.574,1540.46,1188.323,1101.34,1181.785,1025.554,950.062,1247.636
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",615.785,708.632,772.537,888.163,957.158,1010.457,1086.899,1133.69,1014.953,1035.936,1076.213,1209.02,1197.04,1321.244,1403.966
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,23955.204,21694.118,29555.479,23882.177,22992.839,27175.351,32663.501,31440.679,24082.935,19448.289,19382.617,21579.062,17580.399,18861.759,25528.569
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,27150.243,28300.754,29015.975,28420.088,30254.186,27365.434,25288.602,28513.889000000003,31759.245,33195.815,34217.823,33858.219,35408.621,35680.87200000001,35040.29
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,6765.262,6622.269,6601.874,6143.912,6125.583,6212.181,6295.293,6722.021,6618.98,6727.892,6940.571,7225.482,7385.367,7389.821,7518.006
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,718.826,723.858,663.234,678.816,529.843,577.62,578.834,582.611,603.446,523.518,469.574,657.025,896.998,924.155,930.083
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",508.867,562.761,619.527,581.885,540.7760000000001,719.693,1050.493,878.36,776.84,818.151,924.9739999999999,727.568,725.255,672.377,610.553
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",676.5740000000001,691.0429999999999,633.435,632.3489999999999,622.585,579.47,584.982,693.328,645.602,616.34,687.063,690.7560000000001,735.151,636.115,634.57
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,84.714,81.934,91.774,85.492,87.062,85.963,75.491,87.253,87.027,94.022,116.741,124.539,135.568,121.975,111.639
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,360.863,363.49199999999996,364.23400000000004,368.667,378.413,403.54600000000005,391.623,402.428,387.443,387.213,374.216,385.567,395.422,389.865,390.087
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,5554.987,5484.117,5397.669,5606.711,5905.534,5406.399,5666.34,5657.641,5652.507,5682.653,6067.261,5858.467,6108.296,5770.74,5870.366
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,4632.331,5109.276,4209.531,4582.422,4847.453,3765.438,3349.303,4421.271,4868.225,4777.592,4671.719,5030.852,5695.435,5589.102,5155.918
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,847.174,802.034,953.9509999999999,944.8879999999999,894.8389999999999,891.419,803.89,885.7869999999999,914.863,712.822,702.369,751.803,655.731,722.797,724.0530000000001
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",6211.666,7064.985000000001,8677.352,8017.77,9363.414,7837.082,5638.332,7148.973,10142.662,11776.474,12144.288,11223.894,11501.868999999999,12292.471000000001,11828.402999999998
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",324.077,300.587,315.073,281.264,280.68,279.817,275.161,294.101,288.92,283.472,280.72,286.859,317.038,272.37,253.87
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,464.902,494.398,488.321,495.912,678.004,606.806,578.86,740.115,772.73,795.666,838.327,895.407,856.491,899.084,1012.742
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,99742.942,102460.88799999999,104776.99600000001,107955.88999999998,107817.37999999999,107475.92100000002,102009.59700000001,106198.74399999999,110930.50699999998,115626.195,120292.094,120628.95000000001,125876.25500000003,129664.24299999999,132777.965
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|43---Comercio al por mayor<C1>,9246.925,9964.891,10690.983,10624.567,10457.441,10308.43,9113.527,10245.913,11237.018,12364.717,12671.404,12600.223,12875.678,12992.754,13693.119
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|46---Comercio al por menor<C1>,15948.6,17051.231,17925.47,18756.083,18547.842,19237.134,16137.975,17052.896,18379.81,17727.578,20172.822,21258.41,22115.019,22103.675,22786.751
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",15835.066,15347.079,15176.643,15417.663,14804.59,12422.752,11641.733,12334.119,13056.853,13899.715,13529.061,13427.759,13845.08,14388.119,14294.463
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|51---Información en medios masivos<C1>,897.142,1083.907,1292.024,1432.954,1718.143,1779.749,1888.39,1875.984,1912.504,2133.236,2223.284,2250.87,2504.719,3144.735,3397.862
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|52---Servicios financieros y de seguros<C1>,1415.815,1911.817,1742.08,1939.816,2215.137,2723.08,2882.54,3419.753,3628.187,4290.812,4963.402,5376.169,5869.904,6413.435,6566.16
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,18831.152,19242.174,19602.981,20402.59,21178.491,21987.451,22511.83,23313.71,24032.944,24679.258,24932.691,25391.711,26035.341,26425.887,26659.918
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",1369.324,1606.753,1684.247,1646.283,1607.441,1720.184,1837.955,1804.369,1886.968,1888.845,1657.198,1724.392,1642.964,1714.397,1961.584
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|55---Corporativos<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación<C1>",3330.761,3646.9,3688.321,3666.231,3683.93,3524.97,3140.543,3329.653,3558.3,3533.728,3715.331,3818.798,3604.255,3767.69,4022.159
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|61---Servicios educativos<C1>,8103.38,8339.605,8397.065,8336.991,8419.323,8644.813,8788.902,8792.889,8961.819,9607.086,10148.836,9101.382,9728.572,10368.847,10447.594
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,5478.601,5368.933,5442.959,5624.935,5613.195,5616.893,5371.761,5191.739,5478.511,5332.782,5460.862,5400.636,5712.776,6357.196,6570.33
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",505.204,500.428,489.444,533.379,568.197,567.513,555.398,590.309,571.95,581.561,635.082,592.774,615.706,632.079,639.005
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas<C1>,5545.121,5502.879,5178.247,6202.708,5568.332,5636.316,5063.571,4694.45,4429.124,4613.546,4724.162,4317.664,5265.197,5291.981,5568.564
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|81---Otros servicios excepto actividades gubernamentales<C1>,4457.57,4446.197,4681.553,4463.533,4662.492,4667.233,4633.527,4735.806,4804.902,5054.388,5290.411,5389.712,5557.027,5757.973,5769.739
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales<C1>",8778.281,8448.094,8784.979,8908.157,8772.826,8639.403,8441.945,8817.154,8991.617,9918.943,10167.548,9978.45,10504.017,10305.475,10400.717
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,3.234966322091,3.277733807348,3.326462866061,3.4039740439,3.533913602382,3.082072689596,3.335099552031,3.327661648962,3.062769956584,2.972537728199,3.325198623462,3.091620347021,2.887513866538,3.043683354425,2.988398091374
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",3.234966322091,3.277733807348,3.326462866061,3.4039740439,3.533913602382,3.082072689596,3.335099552031,3.327661648962,3.062769956584,2.972537728199,3.325198623462,3.091620347021,2.887513866538,3.043683354425,2.988398091374
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,33.658889807256,32.57792200983,35.500417326721,32.404507467424,32.791407822297,33.574771191422,36.070544630471,35.981954901174,33.43155038427,31.225266561869,30.626022207037,31.40266272658,29.608483045217,29.53948856458,31.291670653579
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,0.935496629628,0.835634046729,0.852954525998,0.77701273432,0.779556579362,0.834498190093,1.000998239674,1.07128022969,0.881885082232,0.676267714358,0.604712745715,0.641750373172,0.549976644786,0.49396938615,0.61753132119
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,0.935496629628,0.835634046729,0.852954525998,0.77701273432,0.779556579362,0.834498190093,1.000998239674,1.07128022969,0.881885082232,0.676267714358,0.604712745715,0.641750373172,0.549976644786,0.49396938615,0.61753132119
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",0.389599665141,0.443630108954,0.451038875523,0.528109505053,0.565277397724,0.59553372427,0.645624987066,0.647880363004,0.581041967897,0.589545158128,0.590916264009,0.656539925767,0.641939910404,0.686959469628,0.694908594242
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,15.156165637012,13.581328435634,17.255704275266,14.200551785042,13.579087461216,16.01635496551,19.402329389059,17.967697098509,13.78703836053,11.067908262495,10.6424133739,11.718181472269,9.42788859097,9.806866830728,12.635649294066
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,17.177627875476,17.717329418513,16.940719649934,16.898833443009,17.867486383995,16.128384311549,15.021592014672,16.295097209971,18.181584973612,18.891545426888,18.787979823413,18.386190955372,18.988677899056,18.551692878074,17.343581444082
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,4.280298821491,4.145787824982,3.854445580346,3.653223930077,3.617640575309,3.661277309942,3.739444476164,3.841495828313,3.789244590312,3.828804243704,3.810859268018,3.923688124192,3.96057093354,3.842218026957,3.72112072583
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,0.454792450116,0.45316215385,0.387223288423,0.403629943808,0.31291413982,0.340432289363,0.343831113805,0.332950124082,0.345461761638,0.297931051815,0.257828992733,0.356787435052,0.481035567527,0.480499460095,0.460354930289
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",0.321953949514,0.352309412707,0.361705344127,0.345993921552,0.319370939836,0.42416594929,0.623999589233,0.501964554374,0.444726644821,0.465604980102,0.50787546739,0.395094738475,0.388934479817,0.349591557131,0.302200001239
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",0.428060124627,0.432618737768,0.369825406572,0.376000258298,0.367685615815,0.341522625112,0.347483065293,0.396222597289,0.369595298066,0.350755512657,0.377245676366,0.375104541664,0.394241434767,0.330737716139,0.314087482637
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,0.05359751542,0.051293745339,0.053581435921,0.050834292586,0.051416987374,0.050664071345,0.044842138873,0.049863283008,0.049821360536,0.05350737387,0.064098980013,0.06762901012,0.072701421652,0.063418930423,0.055256965306
