Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bP---Producto interno bruto<C1>,13061718.521,13573815.057,13887072.52,14511307.247,14843825.975,15013577.681,14219998.379,14947794.696,15495333.601,16059723.651,16277187.078,16733654.767,17283855.93,17788823.686,18157001.671
"Valores constantes|Millones de pesos|D.21-D.31---Impuestos sobre los productos, netos",502613.351,523127.863,539350.648,579923.499,589361.736,610821.055,571451.401,595394.031,619537.009,628731.148,634567.233,673025.177,712586.01,764368.166,793341.842
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,12559105.156000001,13050687.196999997,13347721.874000002,13931383.746,14254464.209999999,14402756.616999999,13648546.979,14352400.662999999,14875796.603000002,15430992.520999998,15642619.842,16060629.582000002,16571269.907999996,17024455.526,17363659.817999996
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,445468.03400000004,455970.664,439348.68299999996,466935.892,486682.22299999994,486464.961,476156.1119999999,488029.02999999997,469661.56999999995,499515.551,510905.69700000004,530221.2639999999,541188.732,560247.851,577998.653
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",445468.03400000004,455970.664,439348.68299999996,466935.892,486682.22299999994,486464.961,476156.1119999999,488029.02999999997,469661.56999999995,499515.551,510905.69700000004,530221.2639999999,541188.732,560247.851,577998.653
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,4604522.23,4781935.700999999,4884760.028000001,5086479.816,5133607.878,5079733.5600000005,4699986.664000001,4913184.23,5053169.757000001,5196909.908,5185312.408999999,5319099.672,5384711.818,5406772.418,5389199.127
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,1284124.236,1304755.692,1307651.4889999998,1288869.2559999998,1256576.8360000001,1191502.7340000002,1131388.299,1143275.808,1147826.749,1160655.235,1153599.416,1131756.231,1081656.402,1034812.4509999999,950055.639
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,1176514.7310000001,1192534.74,1180443.336,1163383.5359999998,1122473.914,1062443.3220000002,1008837.2880000001,1002820.203,989616.5660000001,988537.172,977551.093,953588.4099999999,894928.7930000001,841169.9599999998,755454.534
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,107609.505,112220.95200000002,127208.15299999999,125485.72,134102.922,129059.412,122551.01099999997,140455.60499999998,158210.18299999996,172118.063,176048.32299999995,178167.821,186727.609,193642.49100000004,194601.10499999998
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",146998.39200000002,163753.995,177522.292,198291.742,210220.56699999998,211732.25599999996,214695.67699999997,224346.15300000002,238027.595,242692.0679999999,244041.065,263903.647,268325.33599999995,268654.365,267554.17600000004
