Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,76105.196,86879.42199999999,90269.847,92165.697,91675.276,98292.89000000001,93038.497,97786.13399999999,100704.16,100800.218,103627.459,109267.96699999999,114883.654,119713.978,121794.20199999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,6334.566,7249.249,7111.632,7071.672,7689.549,8259.986,7374.004,7593.762,8483.448,8349.491,7865.074,7183.507,7180.256,8187.836,8456.186
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",6334.566,7249.249,7111.632,7071.672,7689.549,8259.986,7374.004,7593.762,8483.448,8349.491,7865.074,7183.507,7180.256,8187.836,8456.186
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,12816.746000000003,20621.012000000002,22020.459000000003,21054.208,20576.559,22933.924,20239.989,20077.607,20061.298,20655.25,21059.553999999996,24649.636,24377.795000000002,24857.140000000003,22999.363
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,764.413,1468.894,1492.279,1329.921,1359.194,1378.526,1252.572,1124.764,1132.872,1212.441,1215.345,1426.148,1425.943,1470.504,1342.362
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,764.413,1468.894,1492.279,1329.921,1359.194,1378.526,1252.572,1124.764,1132.872,1212.441,1215.345,1426.148,1425.943,1470.504,1342.362
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",1068.171,1396.269,1080.119,1013.711,2020.213,2867.377,1781.041,2499.573,1773.775,1524.429,1696.232,3070.422,3528.567,3414.023,2924.6
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,5608.336,12433.434,13809.355,13235.858,11682.372,13384.936,12108.324,10990.043,11583.079,12203.538,12405.148,14301.534,13474.117,13929.661,12533.697
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,5375.826000000002,5322.415000000001,5638.706,5474.718000000001,5514.780000000002,5303.084999999999,5098.052,5463.227,5571.572000000001,5714.8420000000015,5742.828999999998,5851.532,5949.168000000001,6042.952000000001,6198.704000000002
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,2991.771,2907.781,3105.884,2960.094,2920.61,2819.519,2753.735,3034.663,2922.111,3006.348,3068.691,3250.897,3467.439,3466.814,3447.622
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,668.356,701.298,820.703,821.124,918.636,905.017,929.755,887.353,1039.617,1081.117,1137.529,1097.024,1032.824,1043.214,1135.492
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",17.588,17.786,16.862,16.554,17.058,16.171,16.855,18.843999999999998,17.900000000000002,17.091,17.726999999999997,18.834,21.125,20.35,17.49
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",84.61699999999999,81.465,81.181,77.794,73.23,72.75999999999999,74.174,75.48,71.759,68.014,69.262,71.886,80.204,77.169,81.501
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,71.998,67.854,78.34,75.655,86.978,86.343,83.628,108.655,135.661,167.895,198.137,163.65,148.586,150.46,123.636
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,59.121,59.545,59.684999999999995,65.47,65.288,67.073,71.96400000000001,77.64,72.319,68.379,64.175,57.908,50.837,47.081,44.653999999999996
