Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,803888.528,849841.554,885438.787,946837.916,1004636.5210000002,1020366.7679999999,952725.7779999999,1025184.258,1069812.2680000002,1113817.766,1124999.8930000002,1162064.8650000002,1219286.846,1238927.4049999998,1276123.212
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,7729.586,7384.516,6856.09,6813.11,7527.158,6888.669,7210.986,7725.279,6789.656,6904.717,6847.625,6848.865,6353.614,6111.605,6086.049
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",7729.586,7384.516,6856.09,6813.11,7527.158,6888.669,7210.986,7725.279,6789.656,6904.717,6847.625,6848.865,6353.614,6111.605,6086.049
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,303749.704,322967.946,342797.19200000004,368939.25299999997,392755.054,391188.157,361886.21,392824.53,401705.24900000007,410827.73199999996,407371.037,420454.79000000004,452197.973,441980.096,447488.655
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,12340.374,12574.923999999999,12708.362000000001,12049.981,13300.472000000002,12538.609,12443.765,13160.151,12821.759,12686.841,11927.037,11983.019,12652.970000000001,11308.283,10910.911
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,5661.718,5461.058,5739.606,5409.905,5394.698,5337.799,5914.579,6364.527,6278.904,5865.35,5668.26,5360.979,4929.692,3932.244,3267.052
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,6678.656,7113.866,6968.756,6640.076,7905.774,7200.81,6529.186,6795.624,6542.855,6821.491,6258.777,6622.04,7723.278,7376.039,7643.859
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",10383.527,10009.645,10613.096,13002.699,12872.543,14318.69,14223.762,14581.781,16975.495,17801.508,17154.871,17906.075,19363.596,18951.119,17090.227
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,67128.329,73372.337,87547.002,99122.787,118012.841,115733.855,101495.831,105428.39,109279.047,109305.147,111185.889,116828.485,135535.181,124175.919,121190.655
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,213897.47400000005,227011.03999999998,231928.73200000002,244763.78599999996,248569.198,248597.003,233722.852,259654.208,262628.94800000003,271034.236,267103.24,273737.211,284646.226,287544.775,298296.862
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,29458.462,30279.338,31302.408,32982.291,33621.23,35256.032,36172.594,37270.619,38409.535,39254.521,39762.855,39865.858,39030.674,37339.102,38909.006
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,22698.255,22968.695,20762.104,21487.237,20832.309,20850.072,20579.224,19852.063,19385.994,17721.568,17194.455,17967.053,19815.014,23145.404,23581.597
