Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,202963.936,210757.192,213677.21700000003,218023.575,219815.363,226633.78699999995,224510.70500000002,228089.144,234955.838,239680.17100000003,245515.976,250555.69400000002,260507.54100000003,256500.787,247491.647
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,11682.515,11837.134,11404.286,12589.966,12712.193,13085.15,13283.059,13369.979,13123.146,13916.918,14506.536,14584.062,14455.664,14914.849,14971.538
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",11682.515,11837.134,11404.286,12589.966,12712.193,13085.15,13283.059,13369.979,13123.146,13916.918,14506.536,14584.062,14455.664,14914.849,14971.538
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,54970.524000000005,56426.537,54197.604999999996,54586.49600000001,54440.609,58286.944,61021.766,59466.75,62519.185,63785.01700000001,68077.10999999999,70348.064,72231.64,66674.493,55906.205
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,193.059,193.413,299.919,337.483,153.368,160.13,181.306,199.782,729.719,1784.154,2067.554,3192.632,3469.938,3616.061,3711.153
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,193.059,193.413,299.919,337.483,153.368,160.13,181.306,199.782,729.719,1784.154,2067.554,3192.632,3469.938,3616.061,3711.153
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",1552.927,1902.163,2070.754,2466.463,2624.923,2644.492,2870.255,3365.502,3614.419,3716.51,3498.302,4026.756,4045.339,3989.703,3992.853
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,23250.952,24694.59,21765.313,21192.142,21041.315,24516.571,27163.062,28027.834,29124.316,31197.163,33196.073,34216.477,36413.182,29365.488,23133.956
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,29973.586,29636.370999999996,30061.619,30590.408000000007,30621.003,30965.751000000004,30807.143000000004,27873.632,29050.730999999996,27087.19,29315.180999999997,28912.199,28303.181,29703.240999999998,25068.243
