Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,212106.713,227917.27500000002,243311.19,258448.27100000004,271622.05100000004,278348.405,270311.398,287403.169,308865.22799999994,318294.372,319989.72800000006,345653.11399999994,369835.745,386014.4650000001,401152.79400000005
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,6498.753,6309.11,5559.968,5959.255,6741.912,6520.043,6394.13,7067.547,6612.966,7658.781,7861.136,8569.8,9083.701,8907.23,9905.102
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",6498.753,6309.11,5559.968,5959.255,6741.912,6520.043,6394.13,7067.547,6612.966,7658.781,7861.136,8569.8,9083.701,8907.23,9905.102
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,82772.04500000001,90154.03400000001,96990.24500000001,100791.98800000001,103663.74100000001,102606.649,99340.845,107725.09400000001,116821.677,120843.31400000001,119646.255,134666.68899999998,143891.669,152452.136,162451.639
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,813.088,754.635,803.905,817.316,1050.376,1122.539,1583.538,1641.854,1708.526,1858.043,2374.147,2630.825,2137.514,2037.391,2186.323
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,813.088,754.635,803.905,817.316,1050.376,1122.539,1583.538,1641.854,1708.526,1858.043,2374.147,2630.825,2137.514,2037.391,2186.323
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",2469.279,3389.521,3720.097,4245.349,4265.754,4339.845,5376.716,4681.23,4434.863,5517.462,4918.584,6128.233,6354.484,5737.349,6330.97
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,17343.436,17849.891,20842.207,24137.614,23784.735,25184.029,27379.887,27207.43,30018.31,31022.194,31068.424,35083.442,37260.162,37406.762,40868.977
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,62146.242000000006,68159.98700000001,71624.03600000001,71591.709,74562.876,71960.236,65000.704000000005,74194.58,80659.97799999999,82445.61500000002,81285.1,90824.18899999998,98139.509,107270.634,113065.369
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,16349.795,17847.246,18700.228,17679.368,18191.735,18359.454,17633.523,19413.57,19633.744,18178.355,17621.344,18030.476,19046.455,20809.689,22496.519
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,2155.601,2600.7,2598.884,2458.949,2562.607,2636.664,2351.037,2170.26,2515.223,2453.556,1888.078,2206.925,2582.776,2680.439,2809.151
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",2183.032,2069.736,1960.733,1876.457,1965.583,1982.0710000000001,1683.253,1638.275,1564.467,1558.984,1698.4560000000001,1764.2640000000001,1945.028,2160.689,2268.101
