Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,268247.066,284658.62899999996,285708.482,294951.69499999995,305622.537,316380.798,303066.17499999993,312655.113,318762.63800000004,330191.387,334097.30700000003,341211.83100000006,361904.436,381751.628,384545.43899999995
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,29402.89,34594.54,32781.305,37268.739,40423.406,39832.299,37419.257,33660.45,30583.539,36053.687,36391.883,36997.996,42047.505,44885.711,42306.83
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",29402.89,34594.54,32781.305,37268.739,40423.406,39832.299,37419.257,33660.45,30583.539,36053.687,36391.883,36997.996,42047.505,44885.711,42306.83
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,54453.244,61843.431,58720.153999999995,59590.34299999999,66000.46800000001,73288.457,70805.22099999999,72667.11600000001,72556.471,69291.384,68644.477,69454.492,73630.963,77396.098,75783.843
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,2445.725,2489.286,2071.032,1721.506,2108.155,2446.658,2456.391,2686.265,2576.671,2408.953,2592.912,2536.056,3458.585,3629.101,3421.369
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,2445.725,2489.286,2071.032,1721.506,2108.155,2446.658,2456.391,2686.265,2576.671,2408.953,2592.912,2536.056,3458.585,3629.101,3421.369
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",5264.282,5986.508,7219.419,7606.387,8114.747,7857.258,7712.425,7880.059,7819.166,7351.692,7710.5,8307.913,8456.665,8143.829,9026.579
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,24892.98,30343.279,25403.696,26968.629,32017.202,39215.349,36466.271,37630.017,36814.58,32925.371,32654.46,31656.35,32961.152,36196.938,32740.884
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,21850.256999999998,23024.358000000004,24026.006999999994,23293.821,23760.364000000005,23769.192,24170.133999999995,24470.775,25346.054000000004,26605.368000000002,25686.604999999992,26954.172999999995,28754.560999999998,29426.230000000003,30595.010999999995
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,14750.037,15800.447,16706.682,15584.974,16291.87,16446.925,17484.501,17744.361,18524.578,19255.822,18784.104,19924.459,21489.146,21416.784,22367.756
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,1993.389,1797.421,1985.159,2023.138,1959.797,1841.544,1700.227,1682.894,1730.728,1865.983,1891.772,1828.785,1791.402,2241.688,2343.405
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",170.31799999999998,179.054,164.80200000000002,166.27,152.114,147.357,167.962,159.778,145.172,147.791,133.7,135.724,162.823,199.676,204.524
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",425.208,443.95399999999995,432.992,442.603,396.285,406.807,382.673,384.818,367.96,373.964,381.39799999999997,393.584,405.139,425.236,442.06800000000004
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,155.736,147.58,144.085,156.716,165.233,155.053,151.643,142.344,124.241,131.303,152.545,175.418,249.049,268.213,272.869
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,741.779,711.1110000000001,692.617,788.227,839.759,935.347,841.893,879.845,834.518,848.25,763.023,782.581,805.414,767.731,760.8299999999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,423.634,447.054,493.673,491.605,481.68000000000006,430.71,421.44100000000003,421.403,445.541,480.855,492.402,568.5939999999999,563.427,584.3499999999999,550.7560000000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,366.922,399.271,461.763,492.689,493.615,466.509,406.937,369.291,376.317,424.361,421.92,378.469,651.94,611.615,619.615
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,1621.7559999999999,1797.374,1684.034,1732.465,1539.263,1492.078,1391.189,1425.43,1496.1870000000001,1528.384,1091.922,1113.03,1069.269,1111.593,1132.116
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",730.616,821.586,786.741,952.408,975.174,983.301,757.082,815.562,859.395,1067.984,1113.635,1182.894,1081.21,1266.354,1354.674
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",351.649,351.536,345.503,332.205,330.043,331.175,342.285,322.779,324.292,344.519,326.51,331.549,342.796,315.185,310.403
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,119.213,127.97,127.956,130.521,135.531,132.386,122.301,122.27,117.125,136.152,133.674,139.086,142.946,217.805,235.995
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,184390.932,188220.658,194207.02300000002,198092.61299999998,199198.66299999997,203260.04200000002,194841.69699999996,206327.54700000002,215622.628,224846.316,229060.94700000004,234759.34300000005,246225.96800000002,259469.819,266454.76599999995
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|43---Comercio al por mayor<C1>,26171.873,27603.811,28179.383,29481.125,30403.918,31989.241,29184.069,32517.9,34172.646,36107.231,36180.988,38328.415,39813.332,42668.54,43640.986
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|46---Comercio al por menor<C1>,37040.135,37908.092,38990.421,38307.46,36017.302,35460.797,31762.451,35791.144,40607.589,41042.582,42431.316,42989.493,46113.724,50955.689,52845.371
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",20085.502,19991.468,19896.803,20526.013,20943.113,20140.988,17964.16,19190.249,20180.445,21511.49,21708.498,21958.453,22633.539,23814.564,24693.62
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|51---Información en medios masivos<C1>,930.556,995.819,1131.294,1416.545,1752.489,1936.883,2150.039,2240.345,2314.442,2933.437,3164.588,3246.443,3789.264,4670.355,4916.967
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|52---Servicios financieros y de seguros<C1>,2983.007,3456.744,3959.76,4728.333,5158.18,6937.751,7298.197,7898.062,8170.38,9740.051,10687.818,11396.001,13075.082,14453.013,15803.895
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,33078.375,34015.334,34778.17,35771.744,36647.068,37538.332,38224.522,39523.621,40719.538,41768.181,42137.785,42825.83,43953.53,44803.315,45365.34
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",2536.619,2653.702,2809.918,2873.261,2785.734,3195.059,2879.597,2865.716,3154.034,3068.016,3551.746,3352.081,3668.628,3679.701,3545.995
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|55---Corporativos<C1>,2643.067,2661.72,2765.663,2886.927,2911.404,3031.132,2924.114,2946.999,3050.115,3239.158,3137.107,3171.956,3343.511,3719.123,3823.433
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación<C1>",3851.152,3879.545,4214.821,4217.147,4329.705,4446.62,4222.095,4179.394,4313.662,4441.721,4592.831,4651.371,4736.073,5035.118,5447.539
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|61---Servicios educativos<C1>,17552.994,17402.486,17813.468,17012.591,17479.623,17786.441,17751.471,18083.182,18456.727,19018.767,19009.624,19931.686,20545.285,19971.375,19970.879
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,6740.827,7140.623,7320.363,7517.721,7426.475,7518.627,7444.035,7594.564,7403.673,7334.603,7532.309,7636.357,7172.885,7826.559,7662.457
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",1341.35,1342.977,1327.239,1406.799,1483.436,1484.856,1437.716,1477.469,1470.28,1506.205,1561.261,1526.356,1588.475,1649.988,1684.222
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas<C1>,7823.521,7958.754,9925.138,10395.509,10123.523,10130.076,9918.678,9371.723,9066.516,8968.758,8864.609,9512.062,10486.199,10865.814,11462.334
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|81---Otros servicios excepto actividades gubernamentales<C1>,9187.585,9275.542,9282.469,9711.937,10070.793,10048.934,9639.025,9786.825,9916.128,10359.663,10336.154,10300.806,10642.723,10719.243,10887.775
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales<C1>",12424.369,11934.041,11812.113,11839.501,11665.9,11614.305,12041.528,12860.354,12626.453,13806.453,14164.313,13932.033,14663.718,14637.422,14703.953
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,10.961122683817,12.15299185608,11.473689815061,12.63553986357,13.226578902458,12.589986260797,12.346893215648,10.76600017093,9.59445535772,10.9190270914,10.892599921495,10.843116398271,11.618400002149,11.757830931896,11.001776567684
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",10.961122683817,12.15299185608,11.473689815061,12.63553986357,13.226578902458,12.589986260797,12.346893215648,10.76600017093,9.59445535772,10.9190270914,10.892599921495,10.843116398271,11.618400002149,11.757830931896,11.001776567684
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,20.299660612131,21.725472091696,20.552471382351,20.20342449634,21.595419188605,23.16463497889,23.362957281524,23.241940713121,22.761911952806,20.985218490875,20.546252711938,20.355241433583,20.345415992635,20.273940521349,19.707383137107
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,0.911743429842,0.874481131573,0.724875924405,0.583656927281,0.689790426025,0.773326957725,0.810513083487,0.859178336866,0.808335323163,0.729562639985,0.776094851911,0.743249726297,0.955662505336,0.950644537919,0.889717742823
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,0.911743429842,0.874481131573,0.724875924405,0.583656927281,0.689790426025,0.773326957725,0.810513083487,0.859178336866,0.808335323163,0.729562639985,0.776094851911,0.743249726297,0.955662505336,0.950644537919,0.889717742823
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",1.962475145954,2.10304813911,2.526847977863,2.578858548346,2.655153340344,2.483481314185,2.544799003056,2.520367866173,2.452974429205,2.226494175634,2.307860565904,2.434825596654,2.33671217006,2.133279442098,2.347337423498
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,9.279870371443,10.659532474598,8.891474212516,9.143405329473,10.476060539999,12.394983907968,12.032445059235,12.035631414734,11.54921424637,9.971602015167,9.773936908746,9.277623787904,9.107694938561,9.481803179108,8.514178216531
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,8.145571664892,8.088410346415,8.409273267568,7.89750369124,7.774414882238,7.512842799012,7.975200135746,7.826763095347,7.951387954068,8.057559660089,7.688360385377,7.899542322728,7.945346378678,7.708213362223,7.956149754256
