Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,224280.267,237464.46500000003,247240.38799999998,258649.446,264315.631,270024.005,255845.961,269397.22,283881.7459999999,297293.96199999994,307896.47,315395.653,330163.06000000006,342645.56299999997,357679.55
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,9115.138,9253.648,9352.102,9480.871,9783.812,10156.886,9398.953,10242.671,9084.733,9560.369,11505.111,12797.961,12718.844,13198.64,14163.695
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",9115.138,9253.648,9352.102,9480.871,9783.812,10156.886,9398.953,10242.671,9084.733,9560.369,11505.111,12797.961,12718.844,13198.64,14163.695
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,76821.585,83296.495,88270.713,92615.879,92883.101,96216.144,91221.12100000001,95900.704,103786.458,112441.671,117201.817,119757.95199999999,125564.22499999999,130112.456,138172.32
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,5114.697999999999,5436.4169999999995,5696.281,6171.467000000001,6410.735,7686.053,7741.399,7682.48,8167.942,8580.209,8500.786,7226.156,7912.738,7312.759999999999,6924.0019999999995
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,148.539,163.044,137.826,120.345,88.24,58.996,164.113,257.383,246.87,250.58,165.081,92.006,90.924,101.945,131.807
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,4966.159,5273.373,5558.455,6051.122,6322.495,7627.057,7577.286,7425.097,7921.072,8329.629,8335.705,7134.15,7821.814,7210.815,6792.195
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",3626.251,4076.827,4233.578,4230.48,5299.129,5504.195,5476.349,5771.397,6299.081,6471.77,5922.803,5669.243,6092.775,6432.713,6987.53
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,14204.319,14425.805,18068.389,20482.789,18549.495,21281.657,21466.423,18021.106,19070.726,20776.938,25619.873,25474.319,28176.626,28208.8,28269.512
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,53876.31700000001,59357.446,60272.465000000004,61731.143000000004,62623.742,61744.239,56536.95000000001,64425.721000000005,70248.709,76612.754,77158.355,81388.234,83382.086,88158.183,95991.276
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,13505.048,15308.351,15289.34,15433.756,15136.35,15390.124,15201.299,15605.717,16146.705,16131.264,16814.17,18023.393,17722.879,17486.8,16892.516
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,1245.037,1272.458,1249.756,1142.863,1137.271,1174.587,1118.412,1160.208,1277.573,1273.077,1346.55,1311.482,1352.356,1310.906,1275.28
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",999.9110000000001,1117.459,1100.8799999999999,1141.413,1031.625,943.701,871.1020000000001,898.738,891.047,941.3530000000001,1005.688,1009.301,1034.8310000000001,991.4580000000001,909.921
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",1523.049,1660.472,1626.708,1708.007,1505.529,1209.764,1043.9279999999999,1103.623,1013.1410000000001,1003.24,1102.202,1269.493,1259.219,1101.413,959.636
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,333.683,354.493,352.827,353.616,380.474,368.961,356.736,404.865,381.444,416.102,410.005,427.561,390.585,359.988,333.768
