Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,365533.727,384484.325,404881.25399999996,429625.189,435397.343,436717.189,410374.27099999995,431501.919,471510.17100000003,495926.03099999996,510315.674,519083.26399999997,537497.667,567728.069,572381.925
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,24566.362,22402.721,24960.046,23896.859,27050.252,27929.827,28031.463,28628.166,27827.145,31064.156,29942.431,30503.517,33470.889,34997.981,37560.65
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",24566.362,22402.721,24960.046,23896.859,27050.252,27929.827,28031.463,28628.166,27827.145,31064.156,29942.431,30503.517,33470.889,34997.981,37560.65
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,153963.98100000003,167916.81300000002,179740.87,199852.804,198602.064,193866.043,173918.607,179471.684,208191.03100000002,218906.577,228563.88799999998,230120.58000000002,242789.243,262797.635,258910.581
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,24716.332,28013.886,32780.616,28307.479,32672.37,24218.645,20963.757,23765.093,37868.74,42901.508,44520.787,44150.943,53733.884,64648.051,62980.525
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,24716.332,28013.886,32780.616,28307.479,32672.37,24218.645,20963.757,23765.093,37868.74,42901.508,44520.787,44150.943,53733.884,64648.051,62980.525
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",6892.23,7198.524,7686.848,8816.638,9467.845,9323.03,9078.313,9364.848,10126.67,10741.892,10894.618,10660.339,11250.28,12694.554,13281.95
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,35307.82,41334.005,40432.424,44207.644,44888.76,45189.034,43254.948,39488.936,42399.873,44310.553,43789.303,43505.228,41842.075,49172.23,52353.717
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,87047.59900000002,91370.39800000002,98840.982,118521.04299999999,111573.089,115135.334,100621.58899999999,106852.80699999999,117795.748,120952.624,129359.18,131804.07,135963.004,136282.8,130294.38900000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,20265.581,19511.031,20781.768,20201.082,20760.807,21763.741,22216.922,22848.607,21938.397,25709.873,25213.41,25751.373,26975.638,27585.469,28505.935
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,2734.059,3071.89,3098.602,3249.192,3715.127,3609.283,3671.784,3766.244,3893.2,3952.892,4006.844,3973.859,4232.462,4120.621,4275.711
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",779.4010000000001,811.148,796.374,704.7280000000001,764.8679999999999,763.238,624.639,746.329,752.7909999999999,733.992,767.111,813.647,915.675,814.937,695.928
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",1724.213,1893.458,1717.014,1475.121,1543.503,1802.165,2096.094,2198.931,2041.76,1946.173,1855.0629999999999,2025.683,2084.161,1975.492,1794.504
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,461.596,506.19,556.925,599.448,533.763,413.69,367.608,345.204,344.055,351.11,367.634,376.821,386.463,376.691,376.083
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,892.874,1006.9979999999999,1028.435,894.409,806.936,811.256,809.668,910.9459999999999,838.258,853.465,903.133,933.1579999999999,1003.6379999999999,989.5640000000001,987.497
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,10066.100000000002,9861.027,9972.150000000001,10979.874,12477.652,11822.035000000002,6387.293000000001,3132.452,4164.121,3497.7799999999997,3329.796,3039.656,2781.818,2860.7619999999997,2624.312
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,1399.099,1638.317,1865.326,2014.147,2143.679,1800.058,1477.274,1354.185,1666.609,1841.926,1788.028,1947.287,2085.719,2230.42,2295.549
