Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,374891.40400000004,391243.029,421079.732,445309.6159999999,454079.11300000007,475202.82700000005,495944.159,525011.917,549751.1309999999,564003.811,553628.2049999998,562825.471,559067.9709999999,529964.246,503692.076
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,7782.003,8729.628,7684.964,8277.707,7384.184,7262.804,7017.114,7148.114,6829.508,7692.769,7594.783,7513.522,7667,7774.141,8275.782
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",7782.003,8729.628,7684.964,8277.707,7384.184,7262.804,7017.114,7148.114,6829.508,7692.769,7594.783,7513.522,7667,7774.141,8275.782
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,246556.34600000005,257398.454,282578.43200000003,300337.28099999996,306777.84200000006,323711.461,350470.78599999996,373455.023,390965.103,396940.424,381269.55299999996,388469.575,379055.913,352323.749,326493.073
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,170461.11200000002,180616.624,200737.983,217014.741,231448.358,243475.83,269444.544,290663.251,300882.018,304382.456,288161.79699999996,299069.829,297470.173,283250.54,264245.214
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,169779.078,180067.619,200103.375,216377.997,230871.858,242842.669,268766.136,290013.87,300133.581,303588.105,287430.529,298336.276,296708.833,282711.154,263809.013
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,682.034,549.005,634.608,636.744,576.5,633.161,678.408,649.381,748.437,794.351,731.268,733.553,761.34,539.386,436.201
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",1523.877,1941.791,2018.329,1525.656,1603.602,1530.049,1503.656,1423.677,1756.039,1687.188,1789.349,2026.608,2053.088,2066.349,1898.222
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,26187.018,22933.777,29613.107,31944.458,27704.629,33869.388,35131.159,34221.003,40754.914,43820.507,42270.012,40984.399,38841.815,27605.003,21802.277
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,48384.33900000001,51906.261999999995,50209.013000000006,49852.426,46021.253,44836.193999999996,44391.42699999999,47147.092000000004,47572.13200000001,47050.272999999994,49048.395000000004,46388.738999999994,40690.837,39401.856999999996,38547.36
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,6726.102,6274.433,6625.068,7210.906,6855.137,6724.464,6366.687,6632.937,6224.688,6063.065,6039.002,5728.178,4987.21,5392.778,5998.932
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,1093.211,1099.982,1045.12,985.605,1107.34,1122.073,1238.856,1568.593,1588.21,1629.016,1433.473,1399.417,1508.093,1512.575,1464.274
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",66.603,74.485,65.97,74.678,91.799,86.015,80.528,86.375,80.611,74.224,76.139,79.978,88.113,111.77399999999999,107.813
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",241.931,251.51000000000002,236.445,271.566,318.002,328.024,305.355,321.504,310.156,283.476,291.35699999999997,296.656,319.65799999999996,415.591,476.456
