Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,391574.439,410112.746,436490.981,449609.24,464007.812,483350.66199999995,439739.323,448215.11600000004,456768.5349999999,466371.3219999999,473241.40099999995,478550.58099999995,490612.616,490654.46699999995,490582.65599999996
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,14656.871,16375.782,14853.59,15124.652,16633.801,16693.497,16254.413,17531.956,15588.875,15684.243,14373.989,17623.005,16040.109,17272.946,16527.055
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",14656.871,16375.782,14853.59,15124.652,16633.801,16693.497,16254.413,17531.956,15588.875,15684.243,14373.989,17623.005,16040.109,17272.946,16527.055
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,159938.238,170067.11699999997,190489,196103.52899999998,202936.104,219839.06799999997,190057.63199999998,185238.668,183129.489,183669.349,184994.252,184662.972,186578.553,181762.519,175282.689
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,15623.348,16704.906,18475.648,19881.063,20218.36,18875.539999999997,18886.427,17713.482,17061.005999999998,19217.594,20610.357,19293.557999999997,16417.361,13854.773000000001,11089.651
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,15415.493,16525.372,18273.366,19688.105,20009.106,18663.138,18719.126,17548.362,16902.761,19072.731,20462.201,19136.136,16249.652,13683.977,10926.679
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,207.855,179.534,202.282,192.958,209.254,212.402,167.301,165.12,158.245,144.863,148.156,157.422,167.709,170.796,162.972
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",8341.887,9770.059,10667.762,9713.969,9301.626,9387.919,10471.152,11269.259,12913.819,12984.661,12407.369,11933.218,13238.748,13079.347,12394.039
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,46962.027,43801.528,54615.844,55830.198,60501.429,67328.608,51148.011,51161.452,50243.001,46249.552,45998.497,47498.074,47965.873,47830.792,46013.967
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,89010.97600000001,99790.624,106729.74599999998,110678.299,112914.689,124247.001,109552.042,105094.475,102911.663,105217.542,105978.02900000001,105938.12199999999,108956.571,106997.60699999999,105785.03199999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,8912.278,9056.556,9016.891,8957.569,9080.514,9145.693,9083.466,9496.198,9603.53,8826.026,8431.191,7991.069,9191.892,10451.185,9334.538
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,1995.42,2267.155,2253.028,2429.951,2513.062,2480.733,2423.461,2421.556,2676.848,3108.177,1533.496,2643.962,3599.234,3960.42,3999.448
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",479.634,535.15,503.84899999999993,501.228,530.648,518.7429999999999,439.376,616.157,643.781,671.8679999999999,595.569,494.12,452.09299999999996,436.021,386.165
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",1720.986,1615.366,1409.1509999999998,1369.016,1345.7469999999998,1336.87,1101.075,1295.616,1314.554,1156.704,1069.176,1025.968,1212.7640000000001,1472.867,1270.265
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,276.224,310.099,325.16,307.025,312.82,357.914,289.714,252.328,258.143,239.152,227.904,225.627,259.41,314.467,282.439
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,1352.748,1286.0880000000002,1190.515,1302.6009999999999,1701.768,1398.9470000000001,1169.955,1294.092,1182.3400000000001,1141.6770000000001,1210.73,1332.394,1257.841,1303.594,1308.44
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,28050.195,32678.19,35572.158,40660.64,42952.657,43291.426,43747.39,45772.564999999995,42683.5,43229.598000000005,45065.806000000004,42040.909999999996,40506.239,34725.106,29497.38
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,750.843,787.015,902.348,919.923,902.742,893.926,751.854,862.122,924.611,927.08,885.494,958.068,1084.768,1055.363,1027.726
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,2586.13,2775.711,2932.6040000000003,3147.359,3347.234,3692.598,2934.2309999999998,2873.896,3253.7929999999997,3336.496,2917.536,2934.823,2839.18,3123.237,3402.371
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",36248.533,41928.867,45814.530999999995,44407.155,43346.645,53175.25,40224.698,36189.89,36094.987,37796.981,38982.621,41307.21799999999,43178.382000000005,44540.515,49872.833999999995
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",852.51,899.411,891.35,969.591,977.845,1014.515,977.098,1024.88,1025.49,1091.074,1226.732,1201.731,1385.679,1498.048,1417.101
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,5785.475,5651.016,5918.161,5706.241,5903.007,6940.386,6409.724,2995.175,3250.086,3692.709,3831.774,3782.232,3989.089,4116.784,3986.325
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,216979.33,223669.847,231148.391,238381.059,244437.90699999998,246818.09699999998,233427.27800000002,245444.492,258050.17099999994,267017.73,273873.16,276264.60399999993,287993.95399999997,291619.002,298772.91199999995
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|43---Comercio al por mayor<C1>,23547.862,24599.352,26950.637,28359.569,28373.043,28283.745,24784.862,27919.328,29312.59,29671.756,29718.671,31902.667,33156.341,31775.645,34543.304
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|46---Comercio al por menor<C1>,35344.56,36190.828,37348.889,38979.166,42140.012,42067.747,34556.885,39808.023,45156.496,43856.939,44265.74,41784.561,43193.881,43687.321,43263.528
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",30882.33,32196.257,33859.615,35414.12,36437.35,35341.837,32983.245,36415.811,39594.071,42056.479,43586.623,46464.468,47977.148,48399.375,51243.815
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|51---Información en medios masivos<C1>,1274.054,1443.54,1629.406,1957.943,2398.416,2558.738,2792.845,2878.662,2943.252,3627.359,3823.572,3963.491,4248.423,5358.175,5725.59
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|52---Servicios financieros y de seguros<C1>,3778.341,4645.344,4419.739,4933.724,5444.098,6619.147,7192.367,8723.589,8773.346,10424.392,11609.125,12110.187,14651.534,15073.603,15175.517
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,45074.004,46659.385,48133.196,49333.029,50420.237,51500.021,52591.695,54463.835,56139.594,57642.377,58205.302,59327.889,60786.13,61990.893,62922.881
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",4895.261,4687.516,5222.413,5341.825,5521.008,6234.232,5656.991,4851.851,5531.639,5529.738,5803.42,5575.789,5959.7,6200.374,5869.617
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|55---Corporativos<C1>,0.125,0.125,0.128,0.136,0.136,0.135,0.124,0.128,0.131,0.137,0.132,0.131,0.136,0.148,0.153
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación<C1>",11348.354,11859.406,11875.054,11052.283,10501.334,11173.833,9818.283,9546.62,9726.47,9816.327,10097.436,9462.694,9412.909,9463.091,10280.225
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|61---Servicios educativos<C1>,18436.36,18108.469,18405.638,17746.38,18325.835,18220.299,18369.331,18107.962,18509.949,18848.289,19338.3,19944.55,20528.175,20788.89,21219.143
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,9919.091,9256.785,9950.919,11152.085,11095.232,11215.149,11341.385,11138.365,10603.457,11887,11975.539,11380.855,11699.064,11988.444,12290.588
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",724.222,727.243,723.109,779.462,830.918,830.974,815.196,836.043,825.911,840.112,870.139,843.877,879.52,907.38,921.377
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas<C1>,6559.963,6831.824,6499.536,6619.897,6701.126,6978.607,6387.353,4856.793,5613.15,6097.053,7483.509,6017.305,6584.245,6972.035,6840.738
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|81---Otros servicios excepto actividades gubernamentales<C1>,9672.697,10209.85,10269.886,10510.396,10188.537,10063.298,10144.746,9935.559,10096.266,10465.157,10642.029,10766.977,10858.637,10826.822,10631.447
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales<C1>",15522.106,16253.923,15860.226,16201.044,16060.625,15730.335,15991.97,15961.923,15223.849,16254.615,16453.623,16719.163,18058.111,18186.806,17844.989
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,3.743061226731,3.992995136025,3.402954619124,3.363954886692,3.58481055056,3.453703141923,3.696374681506,3.911504849828,3.412860958122,3.363037618338,3.037348163036,3.682579376076,3.269404103542,3.520389023586,3.368862473605
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",3.743061226731,3.992995136025,3.402954619124,3.363954886692,3.58481055056,3.453703141923,3.696374681506,3.911504849828,3.412860958122,3.363037618338,3.037348163036,3.682579376076,3.269404103542,3.520389023586,3.368862473605
