Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,613590.201,643859.491,648906.398,684557.368,705608.578,704314.03,688981.395,718148.55,746817.731,779730.4340000001,781357.2760000001,790857.581,803983.2999999999,803433.088,794960.683
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,39098.009,37761.426,34803.598,36684.161,37075.337,36824.357,37917.135,37213.107,37996.254,38985.281,40750.571,39487.193,41602.746,40504.065,42823.68
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",39098.009,37761.426,34803.598,36684.161,37075.337,36824.357,37917.135,37213.107,37996.254,38985.281,40750.571,39487.193,41602.746,40504.065,42823.68
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,211686.515,230022.363,230152.957,247922.098,258176.923,254258.26400000002,249469.854,257279.004,269809.35900000005,284936.90400000004,284598.411,276926.75,269030.66500000004,268425.619,246761.78100000002
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,24583.378,27343.463,30492.183999999997,34961.824,41220.003,41212.546,41625.496,47264.74,49633.771,56394.835,54211.663,50253.348999999995,47344.172999999995,43631.367,38411.349
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,22442.287,25170.117,28455.797,32409.551,37992.61,38927.957,39388.865,44356.534,46944.352,53658.143,51493.071,47544.287,45051.63,41452.436,36327.188
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,2141.091,2173.346,2036.387,2552.273,3227.393,2284.589,2236.631,2908.206,2689.419,2736.692,2718.592,2709.062,2292.543,2178.931,2084.161
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",12803.901,15177.162,15888.28,17791.195,18558.656,15715.236,17938.421,15446.638,17658.231,18945.916,19715.911,17696.269,19580.346,19733.836,18621.395
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,56418.883,66037.841,55909.676,64191.009,66513.138,64092.382,66031.745,68597.661,73118.8,78720.053,75941.157,70934.763,68632.844,70686.689,63301.705
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,117880.353,121463.89700000001,127862.817,130978.06999999999,131885.126,133238.1,123874.19199999998,125969.965,129398.557,130876.10000000002,134729.68000000002,138042.369,133473.30200000003,134373.727,126427.33200000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,36261.102,39315.089,41896.033,42428.548,43963.666,45311.918,42329.163,39111.776,42810.121,44307.502,45367.198,43669.642,44645.97,47818.486,47162.285
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,5227.67,4984.048,4204.219,4149.742,4845.416,5133.735,4924.897,5062.769,5439.288,5737.032,5054.449,7227.282,8579.264,9250.591,9706.357
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",431.844,476.618,664.031,726.355,821.895,744.437,632.79,634.3710000000001,639.802,657.952,639.517,1365.708,1335.528,1372.848,1258.474
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",2856.238,2983.308,3013.179,3398.388,3275.8500000000004,3323.989,2763.138,1930.415,2181.269,2315.794,2212.733,2508.9429999999998,2666.355,3123.1659999999997,2591.415
