Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,161636.49699999997,169013.74699999997,176907.681,185462.602,191217.07499999998,193158.623,189365.45799999998,196149.981,202893.84999999998,214700.599,215788.237,223091.26900000003,232221.15699999998,242440.579,249613.57300000003
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,7195.134,8309.648,7820.443,8406.84,8746.538,7817.634,8200.144,8534.028,8701.738,8919.566,8695.222,9084.029,9147.931,9401.78,9218.496
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",7195.134,8309.648,7820.443,8406.84,8746.538,7817.634,8200.144,8534.028,8701.738,8919.566,8695.222,9084.029,9147.931,9401.78,9218.496
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,41180.89,42280.618,45805.503000000004,50014.850999999995,52509.467,51665.955,52441.103,52907.431,54251.87299999999,58652.638999999996,54505.899000000005,58737.376,59764.637,64667.30499999999,67911.872
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,770.032,730.46,728.556,794.39,877.947,768.158,780.408,886.396,775.862,974.824,842.167,930.59,933.63,905.502,970.327
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,770.032,730.46,728.556,794.39,877.947,768.158,780.408,886.396,775.862,974.824,842.167,930.59,933.63,905.502,970.327
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",4020.99,4208.577,4675.548,5166.692,4844.942,4958.858,6019.233,5531.608,4912.798,5599.628,5371.45,5230.562,5594.818,5834.082,5791.399
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,16599.339,16227.23,18687.73,20608.149,22845.307,22155.864,21753.905,21718.607,23194.36,26708.544,23352.971,26523.806,25036.479,25738.611,27123.818
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,19790.529,21114.351,21713.669000000005,23445.619999999995,23941.270999999997,23783.075000000004,23887.557,24770.82,25368.852999999996,25369.642999999996,24939.310999999998,26052.417999999998,28199.71,32189.109999999993,34026.328
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,9791.594,10777.382,11279.303,12395.799,12723.63,13097.966,13738.971,13887.631,14692.641,14375.316,14717.962,15450.871,17537.912,21071.641,22971.488
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,898.54,887.634,865.806,901.465,916.864,937.099,943.854,1070.467,1102.946,1095.633,1021.603,985.569,984.357,985.913,987.121
