Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,101406.31,105664.685,105661.44099999999,112108.36799999999,115935.139,126383.577,130512,144730.56,144876.886,148728.64,146858.788,157068.407,159227.206,156594.847,155892.17200000002
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,11472.477,9741.376,8004.718,11223.698,9977.668,10386.295,10124.876,10694.795,8743.501,11078.216,12232.216,12145.065,11750.573,14000.448,13730.606
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",11472.477,9741.376,8004.718,11223.698,9977.668,10386.295,10124.876,10694.795,8743.501,11078.216,12232.216,12145.065,11750.573,14000.448,13730.606
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,29528.550000000003,34109.688,33722.306,34367.017,37486.922,46416.418999999994,51894.653999999995,61465.585999999996,60969.276,60051.350999999995,55344.467,62705.72,63553.87299999999,56798.956999999995,53472.723
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,10922.261,11261.644,12379.315,11854.104,12999.005,17598.344,22307.173,31303.483,31641.867,32035,28211.993,32265.353,32434.123,24082.787,23241.705
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,10922.261,11261.644,12379.315,11854.104,12999.005,17598.344,22307.173,31303.483,31641.867,32035,28211.993,32265.353,32434.123,24082.787,23241.705
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",838.04,745.196,801.496,899.143,972.126,945.974,1061.364,1261.987,1326.593,1403.397,1398.497,1500.271,1355.22,1251.139,1252.797
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,9197.205,13032.486,9991.064,10414.156,11671.609,14570.965,14938.006,13657.479,13066.392,12138.937,12100.596,12691.638,12509.541,14451.428,13043.402
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,8571.044000000002,9070.362,10550.430999999999,11199.614,11844.181999999999,13301.136,13588.110999999999,15242.636999999999,14934.423999999999,14474.016999999998,13633.381000000001,16248.458000000004,17254.988999999998,17013.603,15934.819
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,1625.618,1729.865,1763.737,1833.958,1931.886,2002.82,2209.683,2342.772,2340.013,2395.897,2402.274,2424.12,2345.084,2303.402,2339.801
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,4689.705,5160.66,6554.854,7094.178,7536.173,7957.246,8363.863,9215.939,8204.303,7773.718,6943.913,8936.513,9546.967,9497.667,8842.701
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",459.892,405.882,320.554,297.699,341.44,367.982,361.92100000000005,383.344,389.014,406.537,410.573,405.861,434.38199999999995,397.482,302.047
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",383.527,342.87800000000004,260.408,219.03,153.809,165.187,182.661,225.111,218.09199999999998,226.62300000000002,205.359,213.752,227.297,208.07,224.336
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,33.381,37.392,37.06,42.639,44.934,54.114,50.262,59.902,53.433,53.532,61.309,66.629,67.146,65.842,80.599
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,27.897000000000002,31.146,31.719,37.268,38.498,41.912000000000006,44.105000000000004,51.814,47.823,43.931999999999995,42.636,40.727,35.114000000000004,33.9,33.661
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,84.14,92.745,101.838,98.046,101.225,312.849,333.519,375.961,414.455,361.64799999999997,371.084,373.74199999999996,441.248,346.24199999999996,352.78700000000003
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,326.239,316.911,354.651,377.24,381.265,402.635,397.331,453.749,456.507,320.431,247.516,290.44,279.235,316.813,372.324
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,656.178,554.63,669.011,716.266,690.5830000000001,694.498,624.18,699.1980000000001,744.017,805.2299999999999,672.739,750.499,787.517,835.019,423.414
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",174.715,296.18899999999996,348.807,376.979,521.798,1184.845,868.609,1277.588,1891.676,1909.734,2110.9049999999997,2580.558,2939.414,2852.296,2798.1369999999997
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",91.268,82.653,85.756,82.16,80.17,74.705,86.363,103.372,110.155,107.425,94.67,89.64,76.654,66.518,65.854
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,18.484,19.411,22.036,24.151,22.401,42.343,65.614,53.887,64.936,69.31,70.403,75.977,74.931,90.352,99.158
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,60405.283,61813.62099999999,63934.416999999994,66517.65299999999,68470.549,69580.86300000001,68492.47,72570.179,75164.10900000001,77599.073,79282.10500000001,82217.62199999999,83922.76000000001,85795.442,88688.84300000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|43---Comercio al por mayor<C1>,6831.71,7289.648,7834.143,8173.398,8334.828,8730.447,7972.083,8899.687,9574.977,10439.985,10957.085,10633.71,10769.402,10363.791,11913.121
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|46---Comercio al por menor<C1>,10882.602,10977.609,11240.972,11548.137,11842.682,11813.385,9880.2,11167.093,12261.717,12319.931,12720.199,14980.089,14844.676,14717.401,15076.274
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",2962.935,3111.398,3277.568,3454.226,3488.926,3548.308,3257.465,3623.418,3777.939,3941.782,3959.426,4150.055,4273.539,4357.178,4434.855
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|51---Información en medios masivos<C1>,314.243,379.103,447.949,523.004,602.631,622.689,750.037,773.632,800.309,998.535,1076.099,1121.684,1270.041,1630.767,1746.794
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|52---Servicios financieros y de seguros<C1>,889.974,1123.014,1140.893,1274.868,1429.965,1776.027,1791.152,2073.148,2164.145,2786.17,3170.477,3617.151,4292.452,4423.254,4566.038
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,14453.298,14812.483,15160.519,15615.487,16049.796,16503.078,16943.391,17561.105,18060.958,18512.154,18673.006,18997.57,19409.703,19689.557,19908
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",661.839,753.965,893.527,939.988,1004.353,958.458,912.382,891.47,1019.787,1066.344,963.051,990.403,1029.757,1234.275,1223.544
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|55---Corporativos<C1>,1.646,1.661,1.727,1.74,1.756,1.877,1.812,1.872,1.982,2.084,2.009,2.05,2.169,2.371,2.466
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación<C1>",1489.779,1457.147,1423.475,1370.947,1350.001,1371.612,1322.459,1384.232,1439.466,1499.494,1560.288,1534.028,1519.645,1592.718,1703.698
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|61---Servicios educativos<C1>,8549.069,8404.137,8607.744,8455.058,8741.829,8390.162,9092.472,9130.074,9414.982,8963.605,9159.349,8995.579,8925.87,9230.86,9398.633
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,2499.512,2485.045,2441.688,2943.966,3162.183,3456.159,3644.432,3506.859,3523.3,3550.196,3561.479,3510.992,3525.669,3891.922,3989.285
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",237.958,234.434,233.93,245.686,252.853,249.297,241.849,245.242,236.403,240.88,246.904,240.37,250.619,261.154,264.952
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas<C1>,1986.709,2078.808,2303.492,2404.632,2388.085,2415.604,2375.15,2416.801,2048.78,2156.416,2136.028,2215.237,2528.036,2689.275,2760.617
