Entidad federativa,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017
Aguascalientes,86.8,86.8,89.8,88.9,89.4,91.2,92.4,94.8,95.8,96.9,96.8,98.7,99.4,99.2,101.0,100.5,108.1,110.0,110.8,113.3,112.2,113.8,115.7,117.2,119.3,125.5,126.8,129.2,130.7,129.1,129.6,130.1
Baja California,89.9,92.2,92.5,93.1,94.0,93.3,94.8,96.5,96.7,98.2,98.3,98.6,99.6,99.9,101.1,99.5,99.1,101.2,101.8,104.5,107.1,107.1,109.6,110.9,111.1,112.1,114.4,116.0,116.2,116.8,117.1,117.9
Baja California Sur,97.0,95.1,96.0,96.5,100.8,97.5,100.3,100.1,100.0,104.0,101.5,102.2,98.3,98.5,100.9,102.0,100.5,99.1,100.0,99.7,113.0,116.6,111.5,111.1,113.0,113.8,118.8,121.0,118.0,122.4,138.5,140.7
Campeche,105.8,105.1,104.0,103.3,102.8,100.9,98.2,101.0,98.4,97.9,99.4,100.8,99.8,99.8,100.2,100.2,98.1,95.3,93.4,94.5,92.5,86.7,88.0,87.1,87.3,82.7,82.8,80.8,78.5,75.8,71.3,73.1
Coahuila de Zaragoza,87.6,90.4,92.6,93.7,96.9,95.5,97.5,99.1,101.8,103.0,102.5,100.2,98.4,99.1,100.5,102.2,103.6,104.2,105.6,107.3,105.0,105.4,108.6,107.7,107.4,106.9,108.1,110.4,112.9,114.0,114.1,114.7
Colima,87.8,87.2,89.3,94.3,94.4,96.5,98.5,95.2,96.1,100.4,99.5,100.0,98.1,101.5,100.3,99.9,103.9,102.1,101.4,102.3,103.1,102.3,104.2,107.0,108.3,109.1,112.5,112.3,112.9,114.6,116.6,118.2
Chiapas,93.5,94.5,100.1,97.5,97.5,100.6,100.1,99.5,101.2,100.4,101.7,102.1,97.5,98.0,99.4,105.0,104.7,105.4,106.1,104.4,102.1,104.0,103.7,104.1,105.1,103.7,103.0,102.5,102.7,100.8,99.1,98.9
Chihuahua,86.4,87.6,88.4,88.3,86.6,88.9,90.1,93.0,95.5,95.3,97.1,97.6,99.4,100.5,99.5,100.4,99.7,102.3,103.2,103.5,107.5,105.4,109.2,110.4,112.3,111.4,114.2,115.8,116.4,117.6,116.6,116.9
Ciudad de México,91.4,91.4,91.1,92.5,93.7,94.1,95.7,95.7,97.8,98.5,97.9,99.9,99.1,99.0,100.6,101.3,101.0,103.0,102.2,102.4,104.3,105.8,107.0,107.3,109.1,109.1,111.1,113.4,112.8,114.4,113.8,114.4
Durango,87.7,89.5,89.8,91.4,93.1,92.6,92.6,94.4,94.7,97.4,98.3,98.0,99.4,99.4,100.5,99.8,100.7,103.2,101.3,103.3,102.2,103.2,103.7,103.2,105.6,105.9,107.4,109.2,108.0,107.4,105.4,104.5
Guanajuato,84.9,86.7,87.4,88.7,90.0,93.1,92.7,92.8,94.8,95.0,96.5,97.7,98.1,97.5,101.8,102.5,100.9,101.9,105.8,109.0,109.9,113.5,110.4,111.2,113.1,114.4,117.4,118.9,121.3,121.8,121.8,121.8
Guerrero,93.7,96.2,98.1,99.2,98.7,97.1,98.4,98.0,99.2,99.3,99.4,101.0,98.5,100.2,100.6,100.9,102.9,104.1,104.6,107.3,105.1,107.4,105.9,106.1,111.4,107.5,108.4,106.4,107.3,107.8,108.3,110.1
Hidalgo,87.3,89.8,89.0,91.1,90.6,92.0,94.7,94.3,93.8,94.6,96.7,99.6,98.4,99.6,100.5,101.8,102.7,102.8,104.8,105.9,106.3,109.3,109.9,114.0,115.6,115.2,113.4,112.5,114.0,114.8,114.8,116.2
Jalisco,89.6,90.7,91.1,91.9,91.9,93.0,94.4,95.0,96.2,96.6,97.8,99.2,99.7,100.0,99.7,100.7,101.0,105.0,104.5,106.9,107.2,108.7,111.0,108.7,111.9,113.2,115.1,115.6,115.9,116.5,117.8,118.6
México,88.0,89.0,90.6,91.7,92.6,94.4,94.9,94.0,96.6,97.0,98.3,100.6,100.3,99.1,100.2,100.3,100.9,103.1,103.4,104.3,104.7,104.5,106.2,106.1,107.1,108.7,108.8,109.6,110.9,112.7,112.6,117.7
Michoacán de Ocampo,91.0,92.7,92.0,91.5,94.0,95.2,95.7,97.3,95.9,96.2,99.4,100.3,99.3,98.8,100.7,101.5,107.9,107.5,105.4,105.8,105.7,109.0,113.8,107.7,110.1,114.1,114.7,115.5,116.3,113.8,117.8,120.7
Morelos,95.2,97.0,94.8,97.4,95.8,97.4,95.7,94.8,96.4,95.7,97.6,96.3,99.6,99.6,100.8,100.1,99.2,100.7,99.4,104.9,103.8,102.9,102.0,100.9,101.9,104.7,108.0,107.8,113.0,109.3,107.8,113.4
Nayarit,92.7,94.1,95.3,95.4,96.2,97.3,97.2,98.1,93.6,97.1,97.9,100.6,101.4,100.5,101.0,97.4,101.5,103.0,106.7,110.7,112.5,111.6,109.6,109.8,111.8,119.0,116.0,115.3,115.6,118.3,118.0,118.2
Nuevo León,88.8,90.0,91.5,93.8,91.8,94.1,96.2,98.0,98.5,98.9,99.0,99.5,100.2,100.4,99.6,99.8,100.5,103.8,103.0,105.9,106.2,108.2,109.9,109.3,109.9,108.9,109.9,111.9,113.3,113.5,113.2,113.8
Oaxaca,90.6,92.5,93.9,94.2,94.1,94.8,95.4,98.2,96.5,96.8,98.2,98.9,99.4,99.3,101.0,100.4,101.3,103.1,101.6,102.3,104.1,105.6,109.0,105.9,103.0,105.4,105.5,104.2,102.6,99.8,99.1,101.7
Puebla,88.0,90.0,91.2,92.5,93.5,94.1,96.6,96.2,98.7,100.0,102.1,101.8,101.1,100.5,99.2,99.0,99.9,101.3,101.2,103.3,103.2,103.2,105.0,104.6,104.8,105.5,105.5,109.4,111.8,112.4,114.1,113.9
