Entidad,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aguascalientes,"466,343","506,569","498,627","519,227","530,503","626,544","688,693","743,821","798,949"
Baja California,"2,741,180","2,837,575","3,102,041","3,117,250","3,640,601","3,382,895","3,640,204","3,696,125","3,752,046"
Baja California Sur,"1,622,679","1,742,295","1,875,947","1,887,852","1,740,469","1,939,845","2,152,136","2,583,584","2,815,072"
Campeche,"1,092,178","1,171,507","1,241,355","1,430,172","1,466,950","1,449,513","1,404,206","1,435,204","1,466,202"
Coahuila ,"1,126,343","1,210,719","1,442,043","1,604,490","1,624,076","1,677,604","1,870,052","1,728,163","1,799,107"
Colima,"1,001,455","987,647","1,043,999","927,207","939,655","1,012,672","1,162,138","1,225,505","1,288,872"
Chiapas,"3,234,444","3,466,521","3,615,889","3,361,336","3,542,911","4,163,125","4,086,871","4,196,088","4,305,359"
Chihuahua,"3,502,226","3,417,028","3,566,384","3,817,119","3,908,207","4,654,521","4,723,089","4,462,027","4,565,421"
Ciudad de Mexico,"10,140,654","10,195,654","10,245,214","10,380,617","11,019,773","11,601,702","11,451,339","11,812,074","12,172,809"
Durango,"619,824","571,946","586,575","536,751","590,814","653,716","737,596","774,227","792,542"
Guanajuato,"2,828,975","2,976,899","3,328,089","3,504,540","4,033,289","4,213,325","4,727,198","5,431,764","5,784,047"
Guerrero,"6,128,855","5,045,896","5,408,737","5,635,061","5,683,881","6,657,911","7,370,150","8,326,643","8,804,889"
Hidalgo,"1,063,757","1,795,890","1,798,323","2,092,989","2,608,530","2,378,974","2,315,990","2,417,968","2,468,957"
Jalisco,"5,802,264","6,144,571","6,603,530","7,029,792","7,235,525","7,826,499","8,279,115","8,757,479","8,996,661"
Mexico,"3,030,155","3,153,503","2,606,734","2,742,850","2,818,682","2,688,211","3,132,339","3,637,068","3,889,432"
Michoacan,"2,850,699","2,614,067","2,705,285","2,549,432","2,457,678","2,541,610","2,512,331","2,830,712","2,989,902"
Morelos,"1,299,323","1,255,671","1,304,322","1,302,052","1,201,835","1,545,325","1,606,797","1,657,859","1,683,390"
Nayarit,"1,892,559","1,935,260","1,564,374","2,097,504","2,214,103","2,492,696","2,626,755","2,908,645","3,049,590"
Nuevo leon,"1,687,135","1,621,573","1,744,074","1,908,023","2,091,330","2,312,124","2,640,515","3,002,352","3,183,270"
Oaxaca,"2,597,092","2,672,394","2,524,345","3,022,774","3,083,266","3,361,083","3,139,445","3,353,474","3,460,488"
Puebla,"2,294,254","2,480,977","2,854,943","3,436,313","3,508,823","3,735,518","4,237,702","5,398,433","5,688,615"
Queretaro,"1,252,577","1,361,402","1,513,352","1,741,291","1,685,640","1,952,866","2,177,298","2,390,694","2,444,043"
Quintana Roo,"8,606,936","8,679,586","9,416,635","10,869,666","12,257,870","13,265,882","15,205,803","15,926,071","16,106,138"
San Luis Potosi,"1,093,917","1,045,677","1,082,065","920,103","1,055,066","1,368,471","1,595,786","1,794,760","1,819,631"
Sinaloa,"2,797,426","2,739,788","2,750,865","2,803,295","2,942,071","3,241,448","3,605,338","3,958,736","4,047,085"
Sonora,"1,994,148","2,108,227","2,162,037","2,297,213","2,457,017","2,420,107","2,545,823","2,566,399","2,571,543"
Tabasco,"995,807","999,075","1,228,170","977,927","1,024,103","1,092,804","1,236,857","1,325,834","1,348,078"
Tamaulipas,"2,606,729","2,871,847","2,578,411","3,065,635","3,364,009","3,623,665","3,723,620","3,723,619","3,715,065"
Tlaxcala,"255,649","250,190","291,730","278,956","332,564","356,343","388,960","437,057","440,541"
Veracruz,"4,502,369","4,589,454","4,601,458","4,654,124","4,852,541","5,012,452","5,241,201","5,308,545","5,352,014"
Yucatan,"1,574,932","1,746,061","1,748,252","1,764,104","1,896,790","1,990,727","1,884,167","2,135,224","2,135,044"
Zacatecas,"977,577","815,367","912,713","1,004,871","1,077,749","1,175,531","1,291,075","1,349,184","1,378,238"
